Object,Filter,MJD,Flux,Error
1H2106-099,g,58670.146687, 3.965, 0.033
1H2106-099,g,58670.148226, 3.954, 0.035
1H2106-099,g,58676.878905, 3.894, 0.030
1H2106-099,g,58676.880609, 3.902, 0.030
1H2106-099,g,58677.066537, 3.907, 0.030
1H2106-099,g,58677.068229, 3.890, 0.030
1H2106-099,g,58678.100651, 3.933, 0.032
1H2106-099,g,58678.102344, 3.971, 0.030
1H2106-099,g,58679.870875, 4.099, 0.040
1H2106-099,g,58679.872567, 4.085, 0.040
1H2106-099,g,58686.049378, 4.281, 0.031
1H2106-099,g,58686.057858, 4.271, 0.030
1H2106-099,g,58686.059180, 4.294, 0.032
1H2106-099,g,58689.989011, 4.253, 0.030
1H2106-099,g,58689.990715, 4.257, 0.030
1H2106-099,g,58698.063480, 4.205, 0.031
1H2106-099,g,58698.065183, 4.214, 0.030
1H2106-099,g,58699.067974, 4.240, 0.030
1H2106-099,g,58699.069666, 4.243, 0.030
1H2106-099,g,58704.927548, 4.406, 0.030
1H2106-099,g,58704.929252, 4.591, 0.038
1H2106-099,g,58705.799985, 4.338, 0.031
1H2106-099,g,58705.801678, 4.303, 0.038
1H2106-099,g,58712.815773, 4.456, 0.033
1H2106-099,g,58712.817473, 4.464, 0.033
1H2106-099,g,58715.858746, 4.470, 0.030
1H2106-099,g,58715.860438, 4.477, 0.030
1H2106-099,g,58717.933580, 4.584, 0.030
1H2106-099,g,58717.935273, 4.579, 0.030
1H2106-099,g,58718.768375, 4.569, 0.030
1H2106-099,g,58718.770079, 4.568, 0.030
1H2106-099,g,58719.796039, 4.610, 0.030
1H2106-099,g,58719.797731, 4.603, 0.030
1H2106-099,g,58720.759076, 4.593, 0.030
1H2106-099,g,58720.760771, 4.568, 0.035
1H2106-099,g,58722.009635, 4.617, 0.030
1H2106-099,g,58722.011336, 4.600, 0.033
1H2106-099,g,58726.768458, 4.643, 0.030
1H2106-099,g,58726.770150, 4.652, 0.030
1H2106-099,g,58727.768426, 4.659, 0.030
1H2106-099,g,58727.770107, 4.636, 0.030
1H2106-099,g,58731.810763, 4.674, 0.030
1H2106-099,g,58731.812096, 4.674, 0.030
1H2106-099,g,58732.760765, 4.620, 0.030
1H2106-099,g,58732.762456, 4.646, 0.030
1H2106-099,g,58732.803613, 4.649, 0.030
1H2106-099,g,58732.804955, 4.621, 0.030
1H2106-099,g,58734.721212, 4.655, 0.034
1H2106-099,g,58734.722904, 4.628, 0.034
1H2106-099,g,58734.748590, 4.676, 0.032
1H2106-099,g,58734.750294, 4.613, 0.032
1H2106-099,g,58751.826154, 4.669, 0.029
1H2106-099,g,58751.827849, 4.653, 0.029
1H2106-099,g,58753.729737, 4.517, 0.030
1H2106-099,g,58753.731441, 4.504, 0.030
1H2106-099,g,58762.833035, 4.367, 0.030
1H2106-099,g,58762.834731, 4.383, 0.030
1H2106-099,g,58762.865869, 4.486, 0.081
1H2106-099,g,58762.867213, 4.404, 0.127
1H2106-099,g,58767.794915, 4.482, 0.030
1H2106-099,g,58767.796619, 4.476, 0.030
1H2106-099,g,58768.740662, 4.471, 0.030
1H2106-099,g,58768.742361, 4.482, 0.030
1H2106-099,g,58769.738108, 4.454, 0.030
1H2106-099,g,58769.739802, 4.472, 0.030
1H2106-099,g,58770.738829, 4.447, 0.031
1H2106-099,g,58770.740529, 4.436, 0.034
1H2106-099,g,58771.759242, 4.499, 0.030
1H2106-099,g,58771.760938, 4.493, 0.030
1H2106-099,g,58772.800156, 4.505, 0.032
1H2106-099,g,58772.801859, 4.498, 0.034
1H2106-099,g,58781.805341, 4.688, 0.031
1H2106-099,g,58781.807056, 4.684, 0.032
1H2106-099,g,58796.807858, 4.698, 0.031
1H2106-099,g,58796.809209, 4.673, 0.031
1H2106-099,g,58800.791804, 4.728, 0.030
1H2106-099,g,58800.793148, 4.728, 0.030
1H2106-099,g,58675.902156, 3.897, 0.018
1H2106-099,g,58675.903499, 3.889, 0.018
1H2106-099,g,58677.876482, 3.955, 0.019
1H2106-099,g,58677.878174, 3.970, 0.019
1H2106-099,g,58678.873632, 3.939, 0.026
1H2106-099,g,58678.875323, 3.979, 0.021
1H2106-099,g,58679.114253, 4.039, 0.018
1H2106-099,g,58681.014681, 4.015, 0.032
1H2106-099,g,58681.016373, 4.059, 0.031
1H2106-099,g,58684.956959, 4.240, 0.018
1H2106-099,g,58684.958652, 4.264, 0.018
1H2106-099,g,58690.883872, 4.212, 0.017
1H2106-099,g,58690.885566, 4.240, 0.017
1H2106-099,g,58692.044065, 4.176, 0.018
1H2106-099,g,58692.045781, 4.173, 0.018
1H2106-099,g,58692.938273, 4.153, 0.017
1H2106-099,g,58692.940000, 4.156, 0.017
1H2106-099,g,58693.083268, 4.142, 0.017
1H2106-099,g,58693.084960, 4.143, 0.017
1H2106-099,g,58698.883135, 4.260, 0.017
1H2106-099,g,58698.884479, 4.273, 0.017
1H2106-099,g,58704.817747, 4.334, 0.019
1H2106-099,g,58704.819092, 4.313, 0.018
1H2106-099,g,58707.937017, 4.405, 0.021
1H2106-099,g,58707.938362, 4.375, 0.021
1H2106-099,g,58707.964338, 4.416, 0.019
1H2106-099,g,58707.966031, 4.403, 0.019
1H2106-099,g,58711.791448, 4.471, 0.026
1H2106-099,g,58711.793144, 4.451, 0.026
1H2106-099,g,58713.794885, 4.421, 0.018
1H2106-099,g,58713.796577, 4.421, 0.018
1H2106-099,g,58714.998735, 4.454, 0.018
1H2106-099,g,58715.000420, 4.465, 0.018
1H2106-099,g,58715.876067, 4.490, 0.018
1H2106-099,g,58715.877410, 4.483, 0.018
1H2106-099,g,58717.011287, 4.512, 0.018
1H2106-099,g,58717.012980, 4.522, 0.018
1H2106-099,g,58723.948851, 4.690, 0.017
1H2106-099,g,58723.950543, 4.681, 0.017
1H2106-099,g,58746.761965, 4.629, 0.019
1H2106-099,g,58749.850900, 4.594, 0.017
1H2106-099,g,58749.852592, 4.603, 0.017
1H2106-099,g,58752.890486, 4.405, 0.019
1H2106-099,g,58752.892179, 4.401, 0.020
1H2106-099,g,58759.871299, 4.259, 0.017
1H2106-099,g,58759.872991, 4.245, 0.017
1H2106-099,g,58768.845596, 4.467, 0.018
1H2106-099,g,58768.847278, 4.481, 0.018
1H2106-099,g,58660.684969, 4.358, 0.021
1H2106-099,g,58660.686684, 4.365, 0.021
1H2106-099,g,58664.768462, 4.258, 0.021
1H2106-099,g,58664.770179, 4.241, 0.021
1H2106-099,g,58665.683979, 4.180, 0.028
1H2106-099,g,58665.685672, 4.149, 0.084
1H2106-099,g,58666.717975, 4.136, 0.021
1H2106-099,g,58666.719679, 4.139, 0.021
1H2106-099,g,58684.681449, 4.288, 0.030
1H2106-099,g,58684.683167, 4.263, 0.023
1H2106-099,g,58686.682717, 4.308, 0.027
1H2106-099,g,58686.684421, 4.306, 0.026
1H2106-099,g,58686.707904, 4.283, 0.021
1H2106-099,g,58686.709610, 4.259, 0.021
1H2106-099,g,58687.751636, 4.275, 0.021
1H2106-099,g,58687.752981, 4.265, 0.021
1H2106-099,g,58688.567077, 4.257, 0.021
1H2106-099,g,58688.568794, 4.255, 0.021
1H2106-099,g,58690.733806, 4.225, 0.021
1H2106-099,g,58690.735498, 4.227, 0.021
1H2106-099,g,58691.630116, 4.224, 0.022
1H2106-099,g,58691.631472, 4.241, 0.027
1H2106-099,g,58691.690282, 4.206, 0.021
1H2106-099,g,58691.692000, 4.215, 0.021
1H2106-099,g,58696.704864, 4.165, 0.021
1H2106-099,g,58696.706568, 4.161, 0.021
1H2106-099,g,58701.566406, 4.300, 0.030
1H2106-099,g,58701.567512, 4.290, 0.021
1H2106-099,g,58701.569205, 4.310, 0.025
1H2106-099,g,58703.455915, 4.288, 0.021
1H2106-099,g,58703.457621, 4.291, 0.021
1H2106-099,g,58707.567443, 4.373, 0.022
1H2106-099,g,58707.569148, 4.362, 0.021
1H2106-099,g,58712.426496, 4.441, 0.023
1H2106-099,g,58712.428212, 4.442, 0.023
1H2106-099,g,58714.546133, 4.447, 0.021
1H2106-099,g,58714.547827, 4.461, 0.021
1H2106-099,g,58714.678724, 4.457, 0.021
1H2106-099,g,58714.680430, 4.445, 0.021
1H2106-099,g,58728.618437, 4.629, 0.021
1H2106-099,g,58728.620131, 4.645, 0.021
1H2106-099,g,58731.574042, 4.678, 0.021
1H2106-099,g,58731.575758, 4.684, 0.022
1H2106-099,g,58733.489793, 4.638, 0.022
1H2106-099,g,58733.491497, 4.632, 0.021
1H2106-099,g,58739.572622, 4.388, 0.037
1H2106-099,g,58739.574314, 4.374, 0.041
1H2106-099,g,58740.540090, 4.677, 0.028
1H2106-099,g,58740.541795, 4.670, 0.026
1H2106-099,g,58741.528800, 4.691, 0.026
1H2106-099,g,58741.530494, 4.701, 0.029
1H2106-099,g,58741.583335, 4.705, 0.030
1H2106-099,g,58741.585041, 4.690, 0.026
1H2106-099,g,58745.542832, 4.667, 0.022
1H2106-099,g,58745.544536, 4.666, 0.022
1H2106-099,g,58748.518263, 4.640, 0.027
1H2106-099,g,58748.519967, 4.644, 0.028
1H2106-099,g,58749.430938, 4.604, 0.024
1H2106-099,g,58749.432644, 4.604, 0.024
1H2106-099,g,58751.451324, 4.528, 0.025
1H2106-099,g,58751.453028, 4.518, 0.022
1H2106-099,g,58752.461452, 4.467, 0.021
1H2106-099,g,58752.463158, 4.457, 0.021
1H2106-099,g,58758.522610, 4.202, 0.021
1H2106-099,g,58758.524316, 4.182, 0.021
1H2106-099,g,58759.389966, 4.196, 0.021
1H2106-099,g,58759.391322, 4.221, 0.021
1H2106-099,g,58760.375836, 4.244, 0.021
1H2106-099,g,58760.377553, 4.252, 0.021
1H2106-099,g,58761.549581, 4.290, 0.021
1H2106-099,g,58761.551287, 4.294, 0.021
1H2106-099,g,58762.415018, 4.333, 0.023
1H2106-099,g,58762.416724, 4.361, 0.027
1H2106-099,g,58766.456076, 4.383, 0.024
1H2106-099,g,58766.457781, 4.408, 0.024
1H2106-099,g,58768.386127, 4.433, 0.024
1H2106-099,g,58768.387821, 4.440, 0.024
1H2106-099,g,58769.508608, 4.443, 0.025
1H2106-099,g,58770.481268, 4.468, 0.022
1H2106-099,g,58770.482973, 4.462, 0.022
1H2106-099,g,58771.409754, 4.462, 0.021
1H2106-099,g,58771.411459, 4.490, 0.021
1H2106-099,g,58773.434147, 4.534, 0.021
1H2106-099,g,58773.435848, 4.537, 0.021
1H2106-099,g,58776.427930, 4.635, 0.021
1H2106-099,g,58776.429631, 4.646, 0.022
1H2106-099,g,58777.454207, 4.669, 0.022
1H2106-099,g,58778.449929, 4.683, 0.023
1H2106-099,g,58778.451635, 4.681, 0.023
1H2106-099,g,58779.388867, 4.638, 0.021
1H2106-099,g,58779.390573, 4.671, 0.021
1H2106-099,g,58782.412756, 4.696, 0.021
1H2106-099,g,58782.414450, 4.684, 0.021
1H2106-099,g,58783.449928, 4.711, 0.021
1H2106-099,g,58783.451634, 4.711, 0.021
1H2106-099,g,58787.425314, 4.636, 0.023
1H2106-099,g,58787.427019, 4.589, 0.022
1H2106-099,g,58793.412496, 4.717, 0.022
1H2106-099,g,58793.413854, 4.708, 0.022
1H2106-099,g,58793.443499, 4.701, 0.022
1H2106-099,g,58793.444855, 4.727, 0.024
1H2106-099,g,58658.084815, 4.355, 0.017
1H2106-099,g,58658.086508, 4.351, 0.017
1H2106-099,g,58664.095491, 4.282, 0.016
1H2106-099,g,58664.097184, 4.290, 0.016
1H2106-099,g,58668.102705, 4.073, 0.016
1H2106-099,g,58668.104401, 4.087, 0.016
1H2106-099,g,58673.998872, 3.871, 0.016
1H2106-099,g,58674.000556, 3.861, 0.016
1H2106-099,g,58696.824387, 4.159, 0.016
1H2106-099,g,58696.826079, 4.171, 0.016
1H2106-099,g,58701.918511, 4.259, 0.016
1H2106-099,g,58701.920201, 4.258, 0.016
1H2106-099,g,58713.023906, 4.463, 0.024
1H2106-099,g,58713.025587, 4.467, 0.024
1H2106-099,g,58714.035449, 4.422, 0.018
1H2106-099,g,58714.037141, 4.420, 0.018
1H2106-099,g,58721.892885, 4.637, 0.016
1H2106-099,g,58721.894581, 4.643, 0.016
1H2106-099,g,58729.849071, 4.659, 0.016
1H2106-099,g,58729.850770, 4.648, 0.016
1H2106-099,g,58743.795008, 4.672, 0.016
1H2106-099,g,58743.796689, 4.661, 0.016
1H2106-099,g,58744.910612, 4.613, 0.024
1H2106-099,g,58744.912301, 4.600, 0.027
1H2106-099,g,58748.818835, 4.590, 0.016
1H2106-099,g,58748.820527, 4.582, 0.016
1H2106-099,g,58752.833204, 4.407, 0.021
1H2106-099,g,58752.834893, 4.430, 0.016
1H2106-099,g,58756.764928, 4.216, 0.016
1H2106-099,g,58756.766632, 4.230, 0.016
1H2106-099,g,58757.780250, 4.197, 0.016
1H2106-099,g,58757.781942, 4.217, 0.016
1H2106-099,g,58758.878276, 4.130, 0.208
1H2106-099,g,58760.751122, 4.299, 0.016
1H2106-099,g,58760.752816, 4.280, 0.016
1H2106-099,g,58766.794999, 4.502, 0.019
1H2106-099,g,58766.796703, 4.497, 0.018
1H2106-099,g,58769.752841, 4.490, 0.018
1H2106-099,g,58769.754183, 4.472, 0.018
1H2106-099,g,58774.751715, 4.575, 0.016
1H2106-099,g,58774.753412, 4.577, 0.016
1H2106-099,g,58775.760133, 4.625, 0.016
1H2106-099,g,58775.761825, 4.607, 0.016
1H2106-099,g,58777.771702, 4.692, 0.016
1H2106-099,g,58777.773394, 4.694, 0.016
1H2106-099,g,58778.823091, 4.589, 0.036
1H2106-099,g,58778.824783, 4.697, 0.023
1H2106-099,g,58787.820031, 4.758, 0.016
1H2106-099,g,58787.821723, 4.764, 0.016
1H2106-099,g,58726.254032, 4.639, 0.040
1H2106-099,g,58726.255720, 4.652, 0.040
1H2106-099,g,58727.066991, 4.638, 0.040
