oid,mjd,mag,magerr,catflags,filtercode,ra,dec
748101100001131,58210.1885301,20.159853,0.121594414,0,zg,124.6955113,45.3900888
748101100001131,58210.2536806,20.1641235,0.12198437,0,zg,124.6957498,45.3905327
748101100001131,58231.1973958,20.5121822,0.157259345,0,zg,124.695919,45.3905001
748101100001131,58249.1834375,20.3729553,0.142450288,0,zg,124.6957055,45.3905234
748101100001131,58366.4698264,20.22925,0.128070056,0,zg,124.6953361,45.3901422
748101100001131,58369.4958333,20.709259,0.173483729,0,zg,124.6957629,45.3904404
748101100001131,58372.4728819,20.425293,0.148016199,0,zg,124.69568,45.3905797
748101100001131,58375.469919,20.7253513,0.174808621,0,zg,124.6958346,45.3906795
748101100001131,58378.4919676,20.4218254,0.147642106,0,zg,124.6957106,45.3904475
748101100001131,58397.4893866,20.5969543,0.164238214,0,zg,124.6957537,45.3903724
748101100001131,58397.4912153,20.4922371,0.15539068,0,zg,124.6957297,45.3904176
748101100001131,58422.4665162,20.250721,0.130134851,0,zg,124.6956385,45.3905431
748101100001131,58423.4759491,20.3873863,0.143967479,0,zg,124.6956087,45.3904103
748101100001131,58425.5167593,20.5083752,0.156945944,0,zg,124.6957531,45.3905649
748101100001131,58425.5176736,20.3579979,0.14089182,0,zg,124.6956609,45.390244
748101100001131,58426.4735995,20.4141293,0.146814361,0,zg,124.6957363,45.3903847
748101100001131,58428.5271528,20.5878677,0.163490176,0,zg,124.6957014,45.3905189
748101100001131,58428.5280787,20.586092,0.163344026,0,zg,124.6957716,45.3904425
748101100001131,58429.4439352,20.0570488,0.112549841,32768,zg,124.6956593,45.3904187
748101100001131,58430.366875,20.5064907,0.156790733,0,zg,124.695697,45.3903666
748101100001131,58430.4276042,20.7230721,0.174620986,0,zg,124.6958076,45.3903858
748101100001131,58431.4627546,20.3403797,0.139074787,0,zg,124.6955902,45.3902586
748101100001131,58431.4637269,20.4336567,0.148921937,0,zg,124.6958478,45.3904007
748101100001131,58432.4497801,20.521904,0.158059716,0,zg,124.6956885,45.390444
748101100001131,58434.4273495,20.6330948,0.167213559,0,zg,124.6960124,45.3905974
748101100001131,58434.428287,20.3955555,0.144832134,0,zg,124.6957899,45.3904058
748101100001131,58437.4662616,20.302351,0.13522011,0,zg,124.6957357,45.3903847
748101100001131,58438.4450579,20.6105003,0.165353417,0,zg,124.6957291,45.3904767
748101100001131,58441.4745023,20.5490513,0.160294652,0,zg,124.6957879,45.3904196
748101100001131,58443.5098611,20.6084023,0.165180683,0,zg,124.6957493,45.3904276
748101100001131,58443.5108218,20.9730377,0.19519949,0,zg,124.6958072,45.3903451
748101100001131,58450.4431019,20.2460899,0.129687086,0,zg,124.6956681,45.3903655
748101100001131,58457.2881019,20.4007225,0.145381257,0,zg,124.6957119,45.3904409
748101100001131,58464.320081,20.4706688,0.152983651,0,zg,124.6958126,45.3903433
748101100001131,58465.5323495,20.4519978,0.150923818,0,zg,124.6957528,45.3903923
748101100001131,58468.4168403,20.6141224,0.16565156,0,zg,124.695626,45.3903835
748101100001131,58468.4309144,20.5974731,0.164281011,0,zg,124.6957501,45.3904099
748101100001131,58468.4318287,20.5990562,0.164411306,0,zg,124.6956924,45.3904368
748101100001131,58469.4887037,20.5844326,0.163207412,32768,zg,124.6956942,45.3903872
748101100001131,58472.4944213,20.4000282,0.145307422,0,zg,124.6959162,45.3904059
748101100001131,58493.2427546,20.3528786,0.140361816,0,zg,124.6958113,45.3903839
748101100001131,58509.2423264,20.3997307,0.145275712,0,zg,124.6953337,45.3904252
748101100001131,58522.1743171,20.2661209,0.131633848,0,zg,124.6959111,45.3904914
748101100001131,58522.1756944,20.5430851,0.159803391,0,zg,124.6957404,45.3905607
748101100001131,58538.260625,20.3320065,0.13821812,32768,zg,124.6955769,45.3903104
748101100001131,58539.2328241,20.0408287,0.111181475,32768,zg,124.6959421,45.3905397
748101100001131,58540.1797685,20.4569283,0.151465595,0,zg,124.6957324,45.3904194
748101100001131,58547.2865162,20.2769985,0.132701918,0,zg,124.6955036,45.3902867
748101100001131,58547.2874884,20.5444984,0.159919739,0,zg,124.6956133,45.3903495
748101100001131,58567.1850926,20.6971817,0.172489524,0,zg,124.6956219,45.3904586
748101100001131,58567.1859954,20.5763779,0.16254425,0,zg,124.6958472,45.3904791
