oid,mjd,mag,magerr,catflags,filtercode,ra,dec
786105300000134,58202.2773495,20.5048561,0.176924467,0,zg,151.4631799,53.9082056
786105300000134,58216.2055671,19.853611,0.117720261,0,zg,151.463102,53.9079221
786105300000134,58227.1908449,20.5238914,0.178534389,0,zg,151.4630701,53.9081412
786105300000134,58229.1536343,20.2249107,0.150673911,32768,zg,151.4629543,53.9083732
786105300000134,58231.206412,20.5653381,0.182039738,0,zg,151.4629526,53.9082165
786105300000134,58233.2201505,20.1882591,0.147248685,0,zg,151.4630895,53.9081279
786105300000134,58235.2026389,20.3939972,0.166652918,0,zg,151.4628528,53.9082406
786105300000134,58236.1598958,20.3186893,0.159521163,0,zg,151.4627876,53.9082448
786105300000134,58236.2016551,20.0431728,0.13399899,0,zg,151.4630916,53.908024
786105300000134,58237.1659028,20.3423462,0.161762685,0,zg,151.4630359,53.9082736
786105300000134,58238.1607407,19.7224846,0.107295841,0,zg,151.4630765,53.9080824
786105300000134,58243.1969444,20.3486786,0.16236271,32768,zg,151.4631633,53.9082189
786105300000134,58244.1968287,20.3787079,0.16520676,32768,zg,151.4630399,53.9082115
786105300000134,58245.216875,19.9358101,0.124614567,32768,zg,151.4630651,53.9081984
786105300000134,58245.2188079,20.6384773,0.188225508,0,zg,151.4626104,53.9084398
786105300000134,58247.1844329,20.2212181,0.150327727,0,zg,151.4631352,53.9081465
786105300000134,58248.1861921,20.2494736,0.152981699,0,zg,151.4631576,53.9081359
786105300000134,58248.1871296,20.3379593,0.161346972,0,zg,151.4630972,53.9081091
786105300000134,58255.1753704,20.4697781,0.173774779,0,zg,151.4631385,53.9081506
786105300000134,58272.2223495,20.3551483,0.16297558,0,zg,151.4631449,53.9081713
786105300000134,58277.1994329,20.4388885,0.170883685,0,zg,151.4631228,53.9081311
786105300000134,58277.2018287,20.1624031,0.144848272,0,zg,151.4629893,53.9081754
786105300000134,58278.1986806,20.411293,0.1682861,0,zg,151.4628763,53.9080925
786105300000134,58279.1991782,20.4217243,0.169269353,0,zg,151.4631516,53.9081746
786105300000134,58280.2391667,20.4205399,0.169157714,0,zg,151.4631711,53.9080945
786105300000134,58280.2410069,20.1957512,0.147946745,0,zg,151.4631382,53.9081192
786105300000134,58284.2189005,20.3262939,0.160241634,0,zg,151.4630406,53.9081933
786105300000134,58284.2198727,20.2703056,0.154945374,0,zg,151.4631051,53.9082271
786105300000134,58288.1993171,20.5110683,0.177449822,0,zg,151.4629134,53.9080883
786105300000134,58292.1981366,20.1005821,0.139173388,0,zg,151.4631674,53.908179
786105300000134,58397.4861343,20.3494301,0.162433892,0,zg,151.4630034,53.9081371
786105300000134,58423.4693866,20.432682,0.170300558,0,zg,151.4630843,53.9080403
786105300000134,58424.5123264,20.1009636,0.139208078,0,zg,151.4629822,53.9082104
786105300000134,58425.5125579,20.0836754,0.137639344,0,zg,151.4629734,53.9082136
786105300000134,58425.5134722,20.3152962,0.159199819,0,zg,151.4630177,53.9083746
786105300000134,58426.4664468,19.9567795,0.126415029,0,zg,151.4630707,53.9081542
786105300000134,58427.5139815,20.4274235,0.169806033,0,zg,151.4632873,53.9079563
786105300000134,58428.5326736,20.3392181,0.161466271,0,zg,151.4632079,53.9081329
786105300000134,58428.5345023,20.2227516,0.150471389,0,zg,151.4630956,53.9081036
786105300000134,58429.4524421,20.1721725,0.145753622,0,zg,151.4630505,53.9082144
786105300000134,58430.5115509,20.1870632,0.147137254,0,zg,151.4629875,53.9081434
786105300000134,58431.4919907,20.065052,0.135959253,0,zg,151.4629899,53.9080786
786105300000134,58431.4953356,20.4099197,0.168156534,0,zg,151.4630457,53.908127
786105300000134,58432.4545486,20.285778,0.156406641,0,zg,151.4629765,53.9081588
786105300000134,58434.533125,19.992115,0.129485548,0,zg,151.4630215,53.9081518
786105300000134,58434.5340856,20.1462212,0.143353641,0,zg,151.4630285,53.9081435
786105300000134,58437.4945602,20.1245403,0.141360998,0,zg,151.4631406,53.9082022
786105300000134,58437.496875,20.2621822,0.154178903,0,zg,151.4630615,53.9081439
786105300000134,58440.464838,20.3338547,0.160957962,0,zg,151.4629513,53.9081645
786105300000134,58440.4663657,20.2352486,0.151644155,0,zg,151.4631028,53.9081248
786105300000134,58441.5112963,20.235672,0.151683778,0,zg,151.4631631,53.9082112
786105300000134,58443.5159028,20.3364983,0.161208495,0,zg,151.4629865,53.9081269
786105300000134,58443.5168171,20.2693481,0.154854923,0,zg,151.4629057,53.9081118
786105300000134,58450.4989005,20.2505951,0.153087169,0,zg,151.4630739,53.9081344
786105300000134,58450.4998611,20.119318,0.140882924,0,zg,151.4630922,53.9082534
786105300000134,58461.4637616,19.9242706,0.123630829,32768,zg,151.4629486,53.90815
786105300000134,58461.466088,20.1929283,0.147683561,32768,zg,151.463097,53.9081058
786105300000134,58464.4859838,20.2964592,0.157416701,0,zg,151.4630589,53.9081803
786105300000134,58464.4869097,20.22369,0.150559455,0,zg,151.4630176,53.9081282
786105300000134,58465.5388194,20.1948338,0.147861138,0,zg,151.4631301,53.9081653
786105300000134,58467.4426852,20.1275139,0.141633525,32768,zg,151.4631155,53.9080475
786105300000134,58468.4534606,20.2298622,0.151138231,0,zg,151.4630244,53.9081227
786105300000134,58469.4947801,20.1398926,0.142770678,0,zg,151.4630349,53.9081487
786105300000134,58472.5305556,20.241148,0.152198464,0,zg,151.4629484,53.9081252
786105300000134,58472.5318056,20.3708401,0.16446197,32768,zg,151.4630749,53.9080342
786105300000134,58475.5357176,20.1610184,0.144720092,0,zg,151.4630602,53.9080433
786105300000134,58480.4897106,20.1039696,0.139481783,0,zg,151.4629046,53.9081314
786105300000134,58486.4265856,20.2869015,0.156512797,0,zg,151.4627723,53.9082235
786105300000134,58486.4307407,20.2350807,0.151628256,0,zg,151.4631233,53.9081406
786105300000134,58487.4583796,20.2090836,0.149191722,0,zg,151.4630218,53.9081645
786105300000134,58491.4470718,20.2608223,0.154050753,0,zg,151.4631789,53.9081539
786105300000134,58491.449375,20.0263748,0.132504538,32768,zg,151.4628784,53.9081038
786105300000134,58492.515625,20.4645119,0.173283577,0,zg,151.4631289,53.9080859
786105300000134,58493.5352894,20.2734451,0.155241549,0,zg,151.4630432,53.908131
786105300000134,58494.4730324,20.236927,0.151801839,0,zg,151.4629894,53.9081493
786105300000134,58494.4739815,20.223671,0.150557667,32768,zg,151.4630101,53.9081247
786105300000134,58502.4440394,20.3235416,0.159980729,0,zg,151.462842,53.9082188
786105300000134,58502.4449884,20.1579132,0.144432992,0,zg,151.463239,53.9081078
786105300000134,58507.4747222,19.6699238,0.103324257,0,zg,151.4626902,53.9082468
786105300000134,58508.1960417,20.1213722,0.141070798,0,zg,151.4631523,53.9081095
786105300000134,58508.196956,20.1166992,0.140643299,0,zg,151.4631142,53.9080556
786105300000134,58509.2385417,19.9713993,0.127679974,0,zg,151.463198,53.9082762
786105300000134,58511.4272454,20.1008759,0.13920027,0,zg,151.4630606,53.9081229
786105300000134,58522.4024653,20.1144066,0.140433908,0,zg,151.4630973,53.9080405
786105300000134,58522.4034375,20.1123009,0.140241638,0,zg,151.4629687,53.9082041
786105300000134,58526.4120023,19.6094513,0.0989045054,0,zg,151.4629885,53.908025
786105300000134,58538.2890046,19.8887177,0.120632194,32768,zg,151.4629628,53.9081613
786105300000134,58540.3659606,20.1445198,0.143196777,0,zg,151.4630897,53.9081129
