oid,mjd,mag,magerr,catflags,filtercode,ra,dec
425309100000654,58232.3147685,19.3549271,0.110068083,0,zi,209.9493938,-0.8972799
425309100000654,58261.2555208,19.3303299,0.108211823,0,zi,209.9494342,-0.8972805999999999
425309100000654,58281.1833565,19.4532127,0.117655925,0,zi,209.9493771,-0.897285
425309100000654,58286.1733565,19.3204041,0.107468046,0,zi,209.9494154,-0.8973219
425309100000654,58547.438831,19.1737175,0.0968555063,0,zi,209.9494157,-0.8971459
425309100000654,58556.3995139,19.303051,0.106175087,0,zi,209.949524,-0.8973765
425309100000654,58560.2947106,19.3054848,0.106355876,0,zi,209.949257,-0.8972742999999999
425309100000654,58573.3359375,19.1702766,0.0966155976,0,zi,209.949516,-0.896866
425309100000654,58581.3775579,19.2714443,0.10384503,0,zi,209.9494042,-0.8972442999999999
425309100000654,58586.2936574,19.3117599,0.106822819,0,zi,209.9494469,-0.8972480999999999
425309100000654,58594.2938773,18.709549,0.0685382262,0,zi,209.9496057,-0.8972516999999999
425309100000654,58600.1813426,19.2830887,0.104699634,0,zi,209.949424,-0.8972946
425309100000654,58607.2745718,19.3617249,0.110584229,0,zi,209.9494135,-0.8972774
425309100000654,58612.3185648,19.4059811,0.113977194,0,zi,209.9493489,-0.8972746999999999
425309100000654,58616.1898843,19.3105545,0.106732957,0,zi,209.9493295,-0.8972320999999999
425309100000654,58628.1684028,19.331665,0.108312108,0,zi,209.9494408,-0.8972341999999999
425309100000654,58637.2733796,19.3112907,0.106787823,0,zi,209.9493783,-0.897205
425309100000654,58641.2545486,19.3097267,0.106671348,32768,zi,209.949401,-0.8971972999999999
425309100000654,58645.2679745,19.5556622,0.125805259,0,zi,209.9495108,-0.8972607
425309100000654,59189.543912,19.4725685,0.119179145,0,zi,209.9494665,-0.8972718
425309100000654,59204.5404977,19.3591862,0.110391371,0,zi,209.9493454,-0.8972225999999999
425309100000654,59217.5172917,19.3499279,0.109689318,0,zi,209.9494681,-0.8972826
426312200000643,58244.3780093,19.4021339,0.11121352,32768,zi,209.9493568,-0.8972326999999999
426312200000643,58249.2950347,19.2195511,0.0981345251,0,zi,209.9496058,-0.8970921
426312200000643,58261.2546065,19.239254,0.0994989127,0,zi,209.9493686,-0.8972685999999999
426312200000643,58274.3666667,19.2288532,0.0987771302,1,zi,209.9494109,-0.8972067
426312200000643,58278.1873611,19.4614849,0.115648657,0,zi,209.9493677,-0.8972841
426312200000643,58282.1682176,19.2536411,0.100502901,0,zi,209.9493117,-0.8970795
426312200000643,58286.1715278,18.9887695,0.0831240043,0,zi,209.9493845,-0.897287
426312200000643,58556.3977199,19.0205746,0.0850820169,0,zi,209.9492626,-0.897333
426312200000643,58573.3368519,18.869545,0.0761095732,0,zi,209.9495454,-0.8970907
426312200000643,58581.396169,19.05163,0.0870287642,0,zi,209.9494297,-0.8972923
426312200000643,58587.3359606,19.6247025,0.128137767,0,zi,209.9494627,-0.8972183999999999
426312200000643,58596.3352662,19.307724,0.104332834,0,zi,209.9494816,-0.8972655
426312200000643,58600.1818056,19.1402607,0.0927711949,0,zi,209.9493558,-0.8972763
426312200000643,58607.2754745,19.2703266,0.101675212,0,zi,209.9493611,-0.8973018
426312200000643,58612.3149421,19.4459,0.1144768,32768,zi,209.9492964,-0.8974031999999998
426312200000643,58637.2889583,19.2544365,0.100558572,0,zi,209.9493892,-0.8972723
426312200000643,58645.2697801,19.4435215,0.114298433,0,zi,209.9493407,-0.8972185999999999
426312200000643,58649.3290856,19.04142,0.0863849297,0,zi,209.9492868,-0.8970806
426312200000643,58653.2359722,19.2560921,0.100674562,0,zi,209.9494674,-0.8971841
426312200000643,59204.5376736,19.3922043,0.110479131,0,zi,209.9494124,-0.8972495
426312200000643,59217.5163542,19.3430252,0.106878147,0,zi,209.9493813,-0.8972621
