oid,mjd,mag,magerr,catflags,filtercode,ra,dec
401302300002746,58337.4755324,19.8844719,0.170412049,0,zi,37.7492158,-5.8793725
401302300002746,58347.3916088,19.7814865,0.161622733,0,zi,37.7493994,-5.8793844
401302300002746,58369.3465162,19.7289562,0.157004878,0,zi,37.7495274,-5.8793673
401302300002746,58377.3253704,19.5797348,0.143713444,0,zi,37.7494636,-5.879374
401302300002746,58390.2828125,19.6360893,0.148740709,0,zi,37.749531,-5.879347
401302300002746,58397.3208218,19.4657307,0.133637905,0,zi,37.7493616,-5.8794393
401302300002746,58423.2553588,19.4970169,0.136383027,0,zi,37.749355,-5.8793235
401302300002746,58435.2461458,19.2521706,0.115560725,0,zi,37.7498262,-5.8794423
401302300002746,58703.3906829,19.6395702,0.149051428,0,zi,37.7494084,-5.8793807
401302300002746,58733.4197338,19.7267303,0.156807974,0,zi,37.7494135,-5.879348
401302300002746,58746.3716204,19.4925213,0.135987461,0,zi,37.749255,-5.8793385
401302300002746,58765.3360648,19.8420238,0.166843608,0,zi,37.7493707,-5.8793606
401302300002746,59184.3292593,19.8107262,0.164160863,0,zi,37.7494577,-5.8792856
401302300002746,59190.2190394,19.6512356,0.150092512,0,zi,37.7494323,-5.8793305
401302300002746,59200.2826042,19.4757938,0.134518802,0,zi,37.7493527,-5.8793794
401302300002746,59211.2083218,19.6189728,0.147212729,0,zi,37.7494128,-5.8793551
