oid,mjd,mag,magerr,catflags,filtercode,ra,dec
1390213300002094,58353.3749653,18.1955166,0.0326167867,0,zr,11.4357081,-3.6199534
1390213300002094,58356.4141319,18.1415539,0.0314843841,0,zr,11.4357228,-3.6199303
1390213300002094,58362.3867245,18.285984,0.0346379653,0,zr,11.4357036,-3.619966
1390213300002094,58389.3329977,18.2633419,0.0341172703,0,zr,11.4357111,-3.6199796
1390213300002094,58424.3179167,18.4111137,0.0377037935,32768,zr,11.4357372,-3.620014
1390213300002094,58443.1440741,18.3387432,0.0358911082,0,zr,11.4357092,-3.6199794
1390213300002094,58719.4394907,18.4097252,0.0376679562,0,zr,11.4357337,-3.6199391
1390213300002094,58748.3645949,18.4025002,0.0374821983,0,zr,11.4357151,-3.6199694
1390213300002094,58748.3887153,18.346632,0.0360833742,0,zr,11.4357276,-3.6199654
1390213300002094,58773.2744097,18.4703217,0.0392708629,32768,zr,11.435854,-3.6199199
1390213300002094,58774.2425347,18.3537884,0.0362588875,0,zr,11.435707,-3.6199363
1390213300002094,58774.2434375,18.351181,0.03619482,0,zr,11.4356693,-3.6200775
1390213300002094,59061.3846065,18.3280125,0.0356316417,0,zr,11.4357398,-3.619945
1390213300002094,59064.4363194,18.3192596,0.0354217626,0,zr,11.4357316,-3.619941
1390213300002094,59086.3819097,18.3906708,0.0371804945,0,zr,11.4357465,-3.6199625
1390213300002094,59086.3823727,18.4376526,0.0383966267,0,zr,11.4357406,-3.619957
1390213300002094,59113.3492014,18.3850784,0.0370389111,0,zr,11.4357455,-3.6199572
1390213300002094,59113.3496644,18.4074116,0.0376083441,0,zr,11.4357393,-3.6199629
1390213300002094,59116.4154282,18.4838352,0.0396394841,0,zr,11.43574,-3.6199511
1390213300002094,59116.4158912,18.4431839,0.0385429785,0,zr,11.4357295,-3.6199633
1390213300002094,59118.2889236,18.4885788,0.0397698544,0,zr,11.4357248,-3.6199701
1390213300002094,59118.2893866,18.4442215,0.0385705233,0,zr,11.4357325,-3.6199616
1390213300002094,59128.3936921,18.7025204,0.0462070554,32768,zr,11.4357516,-3.6199568
1390213300002094,59128.3941551,18.4870911,0.0397289097,32768,zr,11.4356958,-3.6199362
1390213300002094,59130.2785532,18.4754009,0.0394089371,0,zr,11.4357268,-3.6199615
1390213300002094,59130.2846412,18.519268,0.0406258032,0,zr,11.4357434,-3.6199546
1390213300002094,59137.3706829,18.5216236,0.0406924002,0,zr,11.4357454,-3.6199456
1390213300002094,59137.3711458,18.5198078,0.0406410582,0,zr,11.4357221,-3.6199612
1390213300002094,59138.3273032,18.4914017,0.0398476832,0,zr,11.4357273,-3.6199428
1390213300002094,59138.3277778,18.5113564,0.0404030606,0,zr,11.4357342,-3.6199443
1390213300002094,59139.2690394,18.4962006,0.0399804264,0,zr,11.435717,-3.619961
1390213300002094,59139.2695139,18.4618931,0.0390430465,0,zr,11.4357328,-3.6199374
1390213300002094,59143.3267361,18.5448132,0.0413549505,0,zr,11.4357399,-3.6199475
1390213300002094,59143.3272106,18.5179787,0.040589422,0,zr,11.4357455,-3.6199336
1390213300002094,59145.1866319,18.4932919,0.0398999117,0,zr,11.4357163,-3.6199605
1390213300002094,59145.1871065,18.5723324,0.0421576984,0,zr,11.4357209,-3.6199578
1390213300002094,59146.2018171,18.8062687,0.0497472808,32768,zr,11.4356631,-3.6198797
1390213300002094,59146.2022801,18.49156,0.0398520641,32768,zr,11.4357671,-3.6199292
1390213300002094,59147.3043403,18.4958839,0.0399716385,0,zr,11.4356987,-3.6199465
1390213300002094,59147.3048032,18.6584606,0.04478902,0,zr,11.4356675,-3.619885
1390213300002094,59158.2654282,18.5360336,0.0411026217,0,zr,11.4357231,-3.6199364
1390213300002094,59158.2658912,18.4532928,0.038812194,0,zr,11.4357374,-3.6199686
1390213300002094,59165.2289236,18.5272923,0.0408531837,0,zr,11.435745,-3.6199604
1390213300002094,59165.2293866,18.5221367,0.0407069363,0,zr,11.4357196,-3.619963
1390213300002094,59168.1842708,18.5162868,0.0405416898,0,zr,11.4357065,-3.6199656
1390213300002094,59168.1847454,18.5046272,0.0402147733,0,zr,11.4357434,-3.619953
1390213300002094,59169.2712037,18.5177879,0.0405840427,0,zr,11.4357219,-3.6199498
1390213300002094,59170.1817014,18.5127563,0.0404423811,0,zr,11.4357296,-3.6199569
1390213300002094,59170.1821644,18.5341682,0.0410492346,0,zr,11.4357342,-3.6199417
