oid,mjd,mag,magerr,catflags,filtercode,ra,dec
616205200004430,58217.1825231,18.5630913,0.0429556146,32768,zr,123.5708415,25.4930633
616205200004430,58217.1941551,18.4561062,0.0398035869,32768,zr,123.5708095,25.4931248
616205200004430,58223.1626505,18.5348816,0.0420962833,0,zr,123.5707944,25.4931279
616205200004430,58223.1831481,18.5478249,0.0424879789,0,zr,123.5708081,25.4931465
616205200004430,58227.1591782,18.5274963,0.0418747142,0,zr,123.570804,25.4931527
616205200004430,58243.1553704,18.5298119,0.0419440232,0,zr,123.5707778,25.4931879
616205200004430,58249.1537269,18.37533,0.0376091599,32768,zr,123.5708638,25.4931497
616205200004430,58263.1726273,18.5324745,0.0420239232,0,zr,123.5708087,25.4931499
616205200004430,58372.5160648,18.5560513,0.0427392088,0,zr,123.5707938,25.493118
616205200004430,58375.5147338,18.63554,0.0452590473,0,zr,123.5707629,25.4931777
616205200004430,58378.5088773,18.705431,0.0476180315,0,zr,123.5708245,25.493121
616205200004430,58385.5257639,18.6556549,0.0459239297,0,zr,123.5708001,25.4930852
616205200004430,58388.5206597,18.6179104,0.0446854867,0,zr,123.5707862,25.4931373
616205200004430,58423.5171991,18.6159954,0.0446237102,0,zr,123.5707793,25.4931229
616205200004430,58426.4312616,18.5598888,0.0428569913,0,zr,123.5707643,25.4931773
616205200004430,58429.5069097,18.5185051,0.0416068137,0,zr,123.5708321,25.4932188
616205200004430,58432.3866319,18.5404358,0.0422638431,0,zr,123.5707414,25.493121
616205200004430,58432.5078819,18.5405941,0.0422686376,0,zr,123.5707869,25.4931312
616205200004430,58435.3961806,18.5184746,0.0416059271,0,zr,123.5706978,25.4932519
616205200004430,58435.5175347,18.5498886,0.0425508693,0,zr,123.5707494,25.4931684
616205200004430,58438.5185648,18.5260658,0.0418319516,0,zr,123.5707817,25.4931315
616205200004430,58439.3439815,18.4911938,0.0408056602,0,zr,123.5707999,25.4931183
616205200004430,58441.36,18.5171661,0.0415670983,0,zr,123.5707982,25.4931333
616205200004430,58441.4346296,18.4760456,0.0403693318,0,zr,123.5707931,25.4931466
616205200004430,58442.3439236,18.2143135,0.0336722396,32768,zr,123.5707584,25.4930542
616205200004430,58443.3944213,18.5013771,0.0411021747,0,zr,123.5707742,25.4931296
616205200004430,58447.4534722,18.5499382,0.0425523557,0,zr,123.5708273,25.4931222
616205200004430,58447.5030671,18.4079418,0.038476631,0,zr,123.5707661,25.4931252
616205200004430,58455.4558102,18.4118824,0.0385831408,0,zr,123.5707812,25.4931226
616205200004430,58455.5016088,18.4575024,0.0398428738,0,zr,123.5708094,25.4931271
616205200004430,58461.5103819,18.4054966,0.0384107344,0,zr,123.5707804,25.4931461
616205200004430,58464.2970602,18.4950638,0.0409180373,0,zr,123.5708195,25.4931834
616205200004430,58471.2782292,18.4288559,0.0390460305,0,zr,123.570794,25.4931329
616205200004430,58474.3358681,18.4225464,0.0388731509,0,zr,123.5707905,25.4931169
616205200004430,58480.4244097,18.3530254,0.0370299444,0,zr,123.5707616,25.4931597
616205200004430,58481.4279051,18.4107399,0.038552206,0,zr,123.5707906,25.4931285
616205200004430,58486.4525463,18.3911877,0.0380279049,0,zr,123.5707882,25.4931544
616205200004430,58490.2157292,18.4180393,0.0387502387,0,zr,123.5707732,25.4931326
616205200004430,58493.2756713,18.4652901,0.0400629491,0,zr,123.570795,25.4931307
616205200004430,58502.4177199,18.4922638,0.040836677,0,zr,123.5707921,25.4930016
616205200004430,58505.2610301,18.3160591,0.0360945426,0,zr,123.5709186,25.4931625
616205200004430,58505.2864583,18.4201698,0.0388083048,0,zr,123.5707019,25.4931008
616205200004430,58505.2990972,18.4314499,0.0391173735,0,zr,123.5707964,25.4932448
616205200004430,58505.3118866,18.432373,0.0391427912,0,zr,123.5707957,25.4932414
616205200004430,58505.3254282,18.3369122,0.0366184749,0,zr,123.5707538,25.4931054
616205200004430,58505.3394444,18.3618431,0.0372575857,0,zr,123.5709151,25.4930925
616205200004430,58505.3533218,18.6091423,0.0444033891,0,zr,123.5708318,25.4931922
616205200004430,58505.366412,18.2988186,0.0356686004,0,zr,123.5708719,25.4931445
616205200004430,58505.3794097,18.4180031,0.0387492664,0,zr,123.5707364,25.4932182
616205200004430,58506.2609954,18.4909,0.0407971255,0,zr,123.5708679,25.4929551
616205200004430,58506.2772801,18.4394341,0.0393380001,0,zr,123.5708083,25.4931768
616205200004430,58506.2932176,18.4272156,0.0390009992,0,zr,123.5708159,25.4931717
616205200004430,58506.3093403,18.5798626,0.0434763692,0,zr,123.5708074,25.4930635
616205200004430,58506.3263542,18.5811691,0.0435172468,0,zr,123.5708775,25.4931278
616205200004430,58506.3438889,18.4050579,0.0383989252,0,zr,123.5707927,25.4931323
616205200004430,58506.3615509,18.4956627,0.0409354791,0,zr,123.5707886,25.4931302
616205200004430,58506.3781713,18.4721107,0.0402569175,0,zr,123.5707728,25.493135
616205200004430,58506.3945255,18.4410191,0.0393819548,0,zr,123.5708063,25.4931554
616205200004430,58506.4106713,18.3968487,0.038178768,0,zr,123.5707127,25.4931448
616205200004430,58508.2398611,18.5246468,0.041789569,0,zr,123.5707956,25.4931224
616205200004430,58508.2858333,18.5020485,0.0411218107,0,zr,123.5707653,25.4931209
616205200004430,58511.2128356,18.5421124,0.0423145629,0,zr,123.5708032,25.4931355
616205200004430,58511.2152431,18.4765091,0.0403825752,0,zr,123.5707714,25.4930716
616205200004430,58511.2176736,18.519846,0.041646637,0,zr,123.5708281,25.4931335
616205200004430,58511.2200926,18.4928856,0.0408547372,0,zr,123.5707956,25.4931244
616205200004430,58511.2225231,18.5340652,0.042071715,0,zr,123.5708192,25.4931188
616205200004430,58511.2273958,18.4871445,0.0406884588,0,zr,123.5707947,25.4931281
616205200004430,58511.229838,18.5469666,0.0424618647,0,zr,123.5707859,25.4931027
616205200004430,58511.2322917,18.5450516,0.0424037054,0,zr,123.5708018,25.4931078
616205200004430,58511.2372106,18.5044155,0.0411911644,0,zr,123.5707811,25.4931112
616205200004430,58511.2521991,18.5833473,0.0435854904,0,zr,123.570801,25.4931107
616205200004430,58511.2547338,18.4735489,0.0402979441,0,zr,123.5707892,25.493108
616205200004430,58511.2664236,18.4832344,0.0405756831,0,zr,123.5708028,25.4931057
616205200004430,58511.2695949,18.5259151,0.0418274328,0,zr,123.5707958,25.4931245
616205200004430,58511.2727778,18.4907742,0.0407934934,0,zr,123.5708156,25.4931203
616205200004430,58511.2760069,18.557291,0.0427772216,0,zr,123.5707864,25.4931109
616205200004430,58511.2792593,18.5173225,0.0415717326,0,zr,123.5708116,25.493116
616205200004430,58511.2825463,18.521843,0.0417060181,0,zr,123.5708182,25.4931211
616205200004430,58511.2858565,18.5722847,0.0432401523,0,zr,123.5708083,25.493106
616205200004430,58511.2891667,18.4806595,0.0405016169,0,zr,123.5708091,25.493119
616205200004430,58511.2924884,18.5050526,0.0412098318,0,zr,123.5708021,25.493119
616205200004430,58511.2958449,18.5629807,0.0429521985,0,zr,123.5708148,25.49311
616205200004430,58511.2995139,18.4945488,0.0409030542,0,zr,123.5708121,25.4931252
616205200004430,58511.3031134,18.4441872,0.0394700468,0,zr,123.5708132,25.4931278
616205200004430,58511.306713,18.4964695,0.040958941,0,zr,123.5708155,25.4931338
616205200004430,58511.3103125,18.5163727,0.0415435731,0,zr,123.5708149,25.4931245
616205200004430,58511.3139005,18.531538,0.0419957861,0,zr,123.5708051,25.4931266
616205200004430,58511.3175,18.4907341,0.0407923236,0,zr,123.5708024,25.4931301
616205200004430,58511.3210764,18.5585213,0.0428149812,0,zr,123.5708103,25.4931238
616205200004430,58511.3246412,18.5047817,0.041201897,0,zr,123.5708126,25.493125
616205200004430,58511.3281944,18.5090065,0.0413260423,0,zr,123.5707955,25.4931214
616205200004430,58511.3317361,18.4520283,0.0396890715,0,zr,123.5708136,25.4931297
616205200004430,58511.3352662,18.4604454,0.0399258733,0,zr,123.5707996,25.4931281
616205200004430,58511.3387847,18.5116348,0.0414035134,0,zr,123.5708076,25.4931458
616205200004430,58511.3422917,18.4869251,0.0406821221,0,zr,123.5707885,25.4931045
616205200004430,58511.3457986,18.5070152,0.0412674919,0,zr,123.5707919,25.4931216
616205200004430,58511.3527662,18.5235214,0.0417560115,1,zr,123.5708029,25.493132
616205200004430,58511.3562384,18.4973354,0.0409841947,0,zr,123.5707981,25.4931221
616205200004430,58511.3597106,18.5189896,0.0416212194,0,zr,123.5707999,25.4931129
616205200004430,58511.3631597,18.4871674,0.0406891145,0,zr,123.5707969,25.4931156
616205200004430,58511.3700579,18.5039997,0.0411789678,0,zr,123.5708153,25.4931288
616205200004430,58511.3734838,18.479641,0.0404723808,0,zr,123.5708263,25.4931236
616205200004430,58512.2246181,18.4641495,0.0400306135,32768,zr,123.5708288,25.4932867
616205200004430,58512.2295139,18.2335091,0.0341126435,32768,zr,123.5709563,25.4930865
616205200004430,58512.2319792,18.5041313,0.0411828496,32768,zr,123.5708586,25.4931657
616205200004430,58512.2344329,18.3756256,0.037616916,32768,zr,123.5707888,25.4931174
616205200004430,58512.2369097,18.1178246,0.0315694921,32768,zr,123.5707546,25.4930709
616205200004430,58512.2604051,18.5224628,0.041724477,32768,zr,123.5708017,25.4931209
616205200004430,58512.2635648,18.397047,0.0381840914,32768,zr,123.5708188,25.4931431
616205200004430,58512.2667245,18.4648972,0.0400518291,32768,zr,123.5708063,25.4931152
616205200004430,58512.2963426,18.5698185,0.0431635939,32768,zr,123.5708167,25.4931376
616205200004430,58512.3035301,18.198864,0.033323206,32768,zr,123.5706847,25.4930695
616205200004430,58512.3107407,18.5868359,0.0436950512,32768,zr,123.5708149,25.4930919
616205200004430,58512.3143287,18.4957123,0.0409369022,32768,zr,123.5707976,25.4931465
616205200004430,58512.3179167,18.5508118,0.0425790064,32768,zr,123.5708258,25.4931315
616205200004430,58512.3214699,18.4206181,0.0388205312,32768,zr,123.5708044,25.4931235
616205200004430,58512.3250231,18.575676,0.0433456786,32768,zr,123.5709218,25.4930727
616205200004430,58512.3285648,18.6967449,0.0473173447,32768,zr,123.5707857,25.4931019
616205200004430,58513.3642245,18.5574226,0.0427812785,32768,zr,123.570826,25.4931304
