oid,mjd,mag,magerr,catflags,filtercode,ra,dec
516110200002274,58227.1726157,20.2347527,0.131652251,0,zg,121.5911534,13.2141235
516110200002274,58235.1953704,19.9204292,0.105580226,0,zg,121.5911844,13.2140337
516110200002274,58244.2079977,20.1577358,0.124896973,0,zg,121.5913444,13.2142248
516110200002274,58247.173206,20.1168842,0.121405467,0,zg,121.5911562,13.214128
516110200002274,58373.5052662,20.0351543,0.114622787,0,zg,121.5911149,13.2141201
516110200002274,58376.4970718,20.1660423,0.125614896,0,zg,121.5912578,13.2142377
516110200002274,58379.4839005,20.2564754,0.133595899,0,zg,121.591045,13.2140869
516110200002274,58423.4783102,20.4003143,0.146832943,0,zg,121.5911825,13.2140584
516110200002274,58426.4569792,20.2169666,0.130073011,0,zg,121.591252,13.2141794
516110200002274,58427.4164005,20.1758099,0.126462474,0,zg,121.5912927,13.2140683
516110200002274,58429.454838,20.2564602,0.133594409,0,zg,121.5911174,13.2141788
516110200002274,58430.3912963,20.3128891,0.138715982,0,zg,121.5911313,13.2141046
516110200002274,58432.4998958,20.4595184,0.152430072,0,zg,121.591084,13.2140422
516110200002274,58437.4795139,20.1597137,0.12506777,0,zg,121.5913259,13.2142115
516110200002274,58438.4571296,20.3260365,0.139923528,0,zg,121.5911811,13.2141348
516110200002274,58438.4605324,20.3684483,0.143851519,0,zg,121.5911501,13.2140996
516110200002274,58439.438912,20.236042,0.13176699,0,zg,121.5911187,13.2141149
516110200002274,58441.4787731,20.2509174,0.133097097,32768,zg,121.5911677,13.214128
516110200002274,58461.4502199,19.9680176,0.109261766,32768,zg,121.5911397,13.2141273
516110200002274,58472.4955208,20.1079636,0.120651752,0,zg,121.5911882,13.2141347
516110200002274,58480.4752431,19.9190407,0.105474368,0,zg,121.5912738,13.2141601
516110200002274,58495.2610995,20.2087002,0.12934269,0,zg,121.5910681,13.2140866
516110200002274,58508.1927894,20.2471695,0.1327613,0,zg,121.5909721,13.2141403
516110200002274,58511.1715972,20.0366364,0.114743389,0,zg,121.5912396,13.2142051
516110200002274,58523.2358449,20.3082733,0.138293326,0,zg,121.5911737,13.2142927
516110200002274,58567.1710185,20.1840191,0.127177581,0,zg,121.5911612,13.2141098
516110200002274,58569.1630324,20.0746765,0.117868282,0,zg,121.5911621,13.2141456
516110200002274,58575.1693634,20.0287209,0.114100777,32768,zg,121.5911874,13.2141172
516110200002274,58581.1899884,20.1015835,0.120114729,0,zg,121.5911652,13.2141335
516110200002274,58588.1699306,20.3099918,0.138450652,0,zg,121.5912339,13.2141881
516110200002274,58591.1683565,19.8832512,0.102773353,0,zg,121.5911349,13.2141014
516110200002274,58594.1698264,20.1710873,0.126052186,0,zg,121.5910606,13.2140634
516110200002274,58598.1928241,20.085228,0.11874561,0,zg,121.5911212,13.2140649
516110200002274,58608.1725,20.0852795,0.118749976,0,zg,121.5911854,13.214127
516110200002274,58737.5042361,19.9289379,0.10623122,0,zg,121.5911957,13.2141264
516110200002274,58756.4555903,19.9677029,0.109237105,0,zg,121.5910409,13.2141213
516110200002274,58758.5165394,19.9328728,0.106533356,0,zg,121.591135,13.2141284
516110200002274,58759.4728935,20.1092319,0.12075872,0,zg,121.5910703,13.2141354
516110200002274,58763.4746181,20.0512085,0.115933284,0,zg,121.5911436,13.2141681
516110200002274,58779.4808218,20.5223465,0.15804112,0,zg,121.5912363,13.2141242
516110200002274,58785.5236921,20.1238403,0.121995449,0,zg,121.591159,13.214096
516110200002274,58788.5027894,20.1720276,0.126133949,0,zg,121.5911888,13.2142682
516110200002274,58790.5441551,20.0989075,0.119890064,0,zg,121.5911495,13.2141441
516110200002274,58791.524375,20.1312828,0.12262857,0,zg,121.5911983,13.2141123
516110200002274,58794.5454167,20.1547909,0.124643117,0,zg,121.5912426,13.2141657
516110200002274,58800.5476157,20.1097202,0.120799944,0,zg,121.5911409,13.2141084
516110200002274,58806.4645949,19.9187012,0.105448455,0,zg,121.5912975,13.2141754
516110200002274,58812.4368171,20.1240749,0.122015297,0,zg,121.5911999,13.2141603
516110200002274,58838.4564699,19.7616196,0.0940186828,32768,zg,121.5910652,13.2141082
516110200002274,58850.4222222,19.7228889,0.0913687944,0,zg,121.5910263,13.2142582
516110200002274,58856.2258796,19.9346886,0.106672972,0,zg,121.5912531,13.2141117
516110200002274,58864.1921412,20.0109329,0.112666406,0,zg,121.5911546,13.2141285
516110200002274,58867.3873843,20.1594067,0.125041202,0,zg,121.5911651,13.2140635
516110200002274,58871.2154861,20.1347866,0.122927547,0,zg,121.591106,13.2140633
516110200002274,58875.3164236,20.0739002,0.117803819,0,zg,121.5911773,13.2141683
516110200002274,58876.2093981,20.0340691,0.114534639,0,zg,121.591168,13.2141383
516110200002274,58877.2282755,20.1777363,0.126630068,0,zg,121.5912458,13.2141429
516110200002274,58879.2080903,20.1339703,0.122857727,0,zg,121.5912086,13.2141354
516110200002274,58881.2119444,19.7922211,0.0961594731,0,zg,121.5911917,13.2141948
516110200002274,58881.2263542,19.8851662,0.102916487,0,zg,121.5912973,13.2140985
516110200002274,58884.2712616,19.9565163,0.108362921,0,zg,121.5910519,13.2141533
516110200002274,58891.1692361,19.9501438,0.107867442,0,zg,121.5911967,13.214072
516110200002274,58891.1701389,19.9911575,0.11108771,0,zg,121.5911549,13.2141781
516110200002274,58891.2460417,20.026329,0.11390698,0,zg,121.5912848,13.2142398
516110200002274,58893.2094213,20.1663437,0.125641093,0,zg,121.5911797,13.2141372
516110200002274,58894.2065394,20.1573715,0.124865703,0,zg,121.5912234,13.2141489
516110200002274,58894.2074421,20.0305386,0.11424803,0,zg,121.5911764,13.2140869
516110200002274,58896.2262616,20.0447884,0.115407906,0,zg,121.5911916,13.2141772
516110200002274,58898.2519444,20.041748,0.115159765,0,zg,121.5911878,13.2141387
516110200002274,58899.2112153,20.0775414,0.118105933,0,zg,121.5911969,13.2141225
516110200002274,58900.2764352,20.1606236,0.125146404,0,zg,121.591195,13.2141276
516110200002274,58903.2503356,20.2710342,0.134907424,0,zg,121.5912743,13.2141222
516110200002274,58903.2871181,19.9996796,0.111765884,0,zg,121.5910379,13.2140406
516110200002274,58904.2700694,20.0955467,0.119608119,0,zg,121.591168,13.2141504
516110200002274,58905.2552083,20.3845367,0.145353809,0,zg,121.5912182,13.2142954
516110200002274,58906.2552662,20.0462608,0.115528129,0,zg,121.591207,13.2141702
516110200002274,58906.256169,20.3298588,0.140275434,0,zg,121.5911354,13.2139725
516110200002274,58912.248831,20.1752186,0.12641108,0,zg,121.5910956,13.2140636
516110200002274,58954.1605671,20.4216824,0.1488453,0,zg,121.5912546,13.2142509
516110200002274,58956.1909491,19.996088,0.111479722,0,zg,121.591173,13.2141656
516110200002274,58956.2083796,20.0906067,0.119194664,0,zg,121.5912376,13.2141739
516110200002274,58962.1925463,19.9944038,0.111345679,0,zg,121.5911023,13.2141504
516110200002274,58963.1521759,20.037344,0.114800788,0,zg,121.5911609,13.2141195
