oid,mjd,mag,magerr,catflags,filtercode,ra,dec
628105400000102,58202.3540972,14.4931164,0.0124231363,0,zg,214.4981058,25.1368884
628105400000102,58202.3569792,14.5000563,0.0124137634,0,zg,214.4981146,25.1368982
628105400000102,58205.3417245,14.504509,0.0124077722,0,zg,214.4980927,25.1368744
628105400000102,58205.3645486,14.5078306,0.0124033168,0,zg,214.4981203,25.136866
628105400000102,58208.3404282,14.446064,0.0124878287,0,zg,214.4981142,25.1368706
628105400000102,58208.3599653,14.4845505,0.0124347657,32768,zg,214.4981232,25.1368911
628105400000102,58211.3624537,14.3695517,0.0125971353,32768,zg,214.4981798,25.1369594
628105400000102,58211.392581,14.3937845,0.0125619834,0,zg,214.4981627,25.1369154
628105400000102,58214.2969213,14.3496714,0.0126263313,32768,zg,214.4981719,25.1369413
628105400000102,58229.2943287,14.3702297,0.0125961443,0,zg,214.498082,25.1368737
628105400000102,58232.2538194,14.4012346,0.0125512751,0,zg,214.4981019,25.1368679
628105400000102,58235.2461574,14.3738222,0.0125909047,0,zg,214.4980974,25.1368703
628105400000102,58235.3159722,14.3832989,0.0125771323,0,zg,214.4981327,25.1369132
628105400000102,58236.2899769,14.3801136,0.0125817563,0,zg,214.4981173,25.1369225
628105400000102,58237.2964005,14.3729668,0.0125921536,32768,zg,214.4981296,25.1369055
628105400000102,58242.2336227,14.3596354,0.0126116583,32768,zg,214.4980796,25.1368693
628105400000102,58245.2729977,14.723237,0.012137631,32768,zg,214.4981354,25.1368671
628105400000102,58248.317581,14.3046074,0.0126936836,0,zg,214.4981328,25.1368865
628105400000102,58255.2135417,14.2614269,0.0127596827,0,zg,214.4981353,25.1368893
628105400000102,58258.3122454,14.2593641,0.0127628706,0,zg,214.4981355,25.1368937
628105400000102,58262.2756944,14.3066216,0.0126906363,0,zg,214.4981394,25.1369107
628105400000102,58262.2766435,14.2977524,0.0127040651,0,zg,214.4981229,25.1368944
628105400000102,58267.2050231,14.2925587,0.0127119552,0,zg,214.498123,25.1369342
628105400000102,58267.2087731,14.2741566,0.0127400802,0,zg,214.4981202,25.1369308
628105400000102,58269.2531481,14.2446423,0.0127857104,0,zg,214.4981056,25.1368974
628105400000102,58273.2543403,14.334094,0.0126494309,0,zg,214.4981249,25.1368662
628105400000102,58276.2360069,14.4017353,0.0125505561,0,zg,214.4981128,25.1368745
628105400000102,58279.2157407,14.4694872,0.0124553777,0,zg,214.4981074,25.1368686
628105400000102,58282.2556019,14.5349874,0.0123672672,0,zg,214.4980975,25.1368903
628105400000102,58288.2159259,14.4924278,0.0124240685,0,zg,214.4981205,25.1368738
628105400000102,58294.1747222,14.412715,0.0125348642,0,zg,214.4980781,25.1368922
628105400000102,58300.2272801,14.4716902,0.0124523491,0,zg,214.4980752,25.1368835
628105400000102,58303.198287,14.4564829,0.0124733346,0,zg,214.4981277,25.136875
628105400000102,58306.2194213,14.4850092,0.0124341426,0,zg,214.4981295,25.1368768
628105400000102,58311.2322338,14.5519447,0.0123451101,0,zg,214.4980818,25.1368609
628105400000102,58314.2323958,14.5821886,0.012306286,0,zg,214.4980823,25.1368759
628105400000102,58327.1649769,14.578083,0.0123115042,0,zg,214.4981134,25.1368743
628105400000102,58332.175706,14.6352701,0.0122403568,0,zg,214.4980939,25.1368927
628105400000102,58336.175463,14.6077728,0.0122741517,0,zg,214.4980903,25.1369077
628105400000102,58347.2048611,14.3555374,0.012617684,0,zg,214.4981774,25.1368858
628105400000102,58462.5139699,14.0919952,0.0130314855,32768,zg,214.498129,25.1368753
628105400000102,58466.5291551,14.6815844,0.0121852243,32768,zg,214.4980904,25.1368498
628105400000102,58472.5390046,14.3497257,0.0126262521,0,zg,214.4980849,25.1368738
628105400000102,58480.5390972,14.2427797,0.0127886133,0,zg,214.4981049,25.1369369
628105400000102,58486.5540046,14.3615255,0.0126088848,0,zg,214.4980788,25.1368628
628105400000102,58491.5059375,14.3946428,0.0125607485,0,zg,214.4981209,25.1368672
628105400000102,58494.5279977,14.3497448,0.0126262242,0,zg,214.498095,25.1368449
628105400000102,58502.493912,14.4201632,0.0125242742,0,zg,214.4980713,25.1368453
628105400000102,58505.4840394,14.3319855,0.012652575,0,zg,214.4981173,25.1368819
