oid,mjd,mag,magerr,catflags,filtercode,ra,dec
401310200001502,58337.4755324,18.6128559,0.0652318522,0,zi,37.7391291,-1.009314
401310200001502,58342.3937153,18.5687962,0.0630858466,0,zi,37.7391433,-1.0093086
401310200001502,58347.3916088,18.7154255,0.0705065578,0,zi,37.7391705,-1.0093155
401310200001502,58365.3247801,18.6640739,0.0678164214,0,zi,37.7390141,-1.0092879
401310200001502,58369.3465162,18.6669121,0.0679625124,0,zi,37.7391285,-1.0093375
401310200001502,58373.3461921,18.6585865,0.067534849,0,zi,37.7391582,-1.0092339
401310200001502,58377.3253704,18.6010628,0.0646505505,0,zi,37.7391252,-1.0093006
401310200001502,58382.2798727,18.6214199,0.0656572431,0,zi,37.7391573,-1.0093419
401310200001502,58390.2828125,18.5996742,0.0645824149,0,zi,37.7391881,-1.0093083
401310200001502,58397.3208218,18.7121773,0.0703334212,0,zi,37.7391294,-1.0093317
401310200001502,58423.2553588,18.6801052,0.0686455294,0,zi,37.739163,-1.0093423
401310200001502,58427.2753472,18.7915134,0.0746781826,32768,zi,37.7392093,-1.0094
401310200001502,58431.2554398,18.7864132,0.0743915662,0,zi,37.7391027,-1.0090927
401310200001502,58435.2461458,18.6288414,0.0660280734,0,zi,37.7391564,-1.0093634
401310200001502,58703.3906829,18.6923561,0.0692856759,0,zi,37.7391704,-1.0093591
401310200001502,58713.4192014,18.965477,0.0850700289,0,zi,37.7393682,-1.0092987
401310200001502,58718.390787,18.74226,0.0719522685,0,zi,37.7391595,-1.009348
401310200001502,58733.4197338,18.7145786,0.0704614148,0,zi,37.7391378,-1.0093205
401310200001502,58738.3983333,18.7325897,0.0714280903,0,zi,37.7391557,-1.0093119
401310200001502,58746.3716204,18.7167988,0.070579879,0,zi,37.7391525,-1.0093528
401310200001502,58750.3448264,18.5753593,0.0634010583,32768,zi,37.7391963,-1.0093316
401310200001502,58757.3600579,18.6774845,0.0685093552,0,zi,37.7391399,-1.0093488
401310200001502,58761.3271644,18.7050819,0.0699566379,0,zi,37.7391117,-1.0093667
401310200001502,58765.3360648,18.6883926,0.0690779462,0,zi,37.7391565,-1.009358
401310200001502,58769.3113773,18.5619144,0.0627570674,0,zi,37.739135,-1.009371
401310200001502,59184.3292593,18.6095657,0.0650691539,0,zi,37.7390951,-1.009332
401310200001502,59187.2692708,18.6905079,0.0691887662,0,zi,37.7391958,-1.009312
401310200001502,59190.2190394,18.5500679,0.0621949881,0,zi,37.7390901,-1.0093459
401310200001502,59200.2826042,18.6236382,0.0657678694,0,zi,37.7391531,-1.009356
401310200001502,59203.2553935,18.7235737,0.0709426254,0,zi,37.7390746,-1.0093553
401310200001502,59211.2083218,18.7382698,0.0717355534,0,zi,37.7391449,-1.0092943
401310200001502,59217.2073495,18.733511,0.0714778826,32768,zi,37.73913,-1.0093411
