oid,mjd,mag,magerr,catflags,filtercode,ra,dec
824315200010894,58232.3456829,14.4618073,0.0115352198,0,zi,243.4881995,65.7194354
824315200010894,58244.4042824,14.6342068,0.0115363076,32768,zi,243.4883472,65.7194495
824315200010894,58249.322338,14.4699564,0.0115344925,0,zi,243.4882738,65.7195141
824315200010894,58254.3925926,14.497221,0.0115326019,0,zi,243.4882675,65.7194406
824315200010894,58261.2881829,14.4758997,0.0115340101,0,zi,243.4882089,65.7194382
824315200010894,58267.2605671,14.4948187,0.0115327332,0,zi,243.4882342,65.7194686
824315200010894,58272.3656366,14.5276432,0.0115314871,0,zi,243.488293,65.7194235
824315200010894,58277.2997338,14.502018,0.0115323551,0,zi,243.4882753,65.7194459
824315200010894,58282.1758912,14.5235548,0.0115315728,0,zi,243.4882096,65.7194655
824315200010894,58286.2041667,14.5196924,0.0115316743,0,zi,243.488227,65.7194488
824315200010894,58290.1805903,14.5241947,0.0115315579,0,zi,243.4882347,65.7194788
824315200010894,58295.3230671,14.5335226,0.0115313949,0,zi,243.4882319,65.7194309
824315200010894,58303.3890162,14.503088,0.011532302,0,zi,243.4883077,65.7195039
824315200010894,58312.1873148,14.474575,0.0115341144,32768,zi,243.4882105,65.7194423
824315200010894,58320.2424769,14.5311174,0.0115314266,0,zi,243.4882835,65.7194484
824315200010894,58325.3021875,14.5100813,0.0115320003,0,zi,243.4882812,65.7194478
824315200010894,58331.3243866,14.4927216,0.0115328552,0,zi,243.4882302,65.719443
824315200010894,58338.1629398,14.5327835,0.0115314042,0,zi,243.488311,65.7194188
824315200010894,58344.3224653,14.5079775,0.011532085,0,zi,243.4882659,65.7194337
824315200010894,58348.175706,14.5037756,0.0115322694,0,zi,243.4882672,65.7194492
824315200010894,58362.2817361,14.523675,0.0115315719,0,zi,243.4882973,65.7194472
824315200010894,58367.1298032,14.5306196,0.0115314331,0,zi,243.4883468,65.7194701
824315200010894,58379.1155208,14.5265484,0.0115315076,0,zi,243.4883806,65.7194863
