oid,mjd,mag,magerr,catflags,filtercode,ra,dec
1489205300007757,58335.4348958,19.3889809,0.067118153,0,zr,340.2665697,-0.8376244999999999
1489205300007757,58335.4353588,19.3906193,0.067198813,0,zr,340.2665617,-0.8376287
1489205300007757,58336.415081,19.4330559,0.0693195462,0,zr,340.2665578,-0.8375723999999999
1489205300007757,58353.3647569,19.5116444,0.0734139979,0,zr,340.2665776,-0.8376213999999998
1489205300007757,58361.3333449,19.4331894,0.0693263188,0,zr,340.2665738,-0.8376375
1489205300007757,58362.358125,19.4183025,0.0685751364,0,zr,340.266575,-0.8376145999999999
1489205300007757,58389.3265046,19.4034233,0.0678320453,0,zr,340.2665873,-0.8376316
1489205300007757,58443.1067014,19.4416294,0.0697556362,0,zr,340.2665494,-0.8376552999999999
1489205300007757,58770.3302199,19.7900257,0.0896934271,0,zr,340.2665232,-0.8375519
1489205300007757,58770.3306713,19.4992695,0.0727547556,0,zr,340.2665588,-0.8376031
1489205300007757,58771.3229514,19.4148884,0.0684039444,0,zr,340.2665239,-0.8374548
1489205300007757,58773.2555324,19.5729084,0.0767581761,32768,zr,340.2666205,-0.8376635
1489205300007757,58773.2582986,19.3220158,0.0639017969,32768,zr,340.2665165,-0.8376453999999999
1489205300007757,58774.2243403,19.5654182,0.0763421208,0,zr,340.2665633,-0.8376797999999999
1489205300007757,58774.2248032,19.5683994,0.0765074193,0,zr,340.266546,-0.8376059
1489205300007757,59061.3442824,19.3479996,0.065131627,0,zr,340.266515,-0.8376147
1489205300007757,59063.3733796,19.3669777,0.0660444126,0,zr,340.2664658,-0.8375956
1489205300007757,59079.3953125,19.3723259,0.0663038492,0,zr,340.2665769,-0.8376139
1489205300007757,59079.4081829,19.3998337,0.0676539317,0,zr,340.2665288,-0.8376202
1489205300007757,59080.374213,19.3755341,0.0664599463,0,zr,340.2665954,-0.8376348
1489205300007757,59080.3746875,19.3240433,0.0639969409,0,zr,340.2665578,-0.8376303
1489205300007757,59081.4069792,19.3663006,0.0660116374,0,zr,340.266561,-0.8376344
1489205300007757,59086.3870718,19.3653584,0.0659660101,0,zr,340.2665868,-0.8376192999999998
1489205300007757,59086.3875347,19.414114,0.0683651567,0,zr,340.2665622,-0.8376164999999999
1489205300007757,59098.3595602,19.390192,0.0671777427,0,zr,340.2665752,-0.837635
1489205300007757,59098.3600347,19.3612385,0.0657670349,0,zr,340.266533,-0.8376453999999999
1489205300007757,59118.2704398,19.234024,0.0599054657,0,zr,340.2664544,-0.8377073
1489205300007757,59118.2709028,19.478941,0.0716836005,0,zr,340.2665719,-0.8376461
1489205300007757,59124.3379861,19.4150581,0.0684124306,0,zr,340.2665719,-0.8376477
1489205300007757,59124.3384491,19.23666,0.0600214526,0,zr,340.2665131,-0.8376679
1489205300007757,59130.2893171,19.4381218,0.069576934,0,zr,340.2665955,-0.8376308999999998
1489205300007757,59130.2897801,19.3747292,0.0664207563,0,zr,340.2665716,-0.8376124999999999
1489205300007757,59139.2764815,19.4113541,0.068227157,0,zr,340.2665428,-0.8375972
1489205300007757,59139.276956,19.3294334,0.0642505139,0,zr,340.2665949,-0.8376274
1489205300007757,59141.1813542,19.4217377,0.068747811,0,zr,340.2665474,-0.8376211
1489205300007757,59141.1818171,19.4020882,0.0677657425,0,zr,340.2665774,-0.8375968999999999
1489205300007757,59145.1638657,19.3401184,0.0647561327,0,zr,340.2665528,-0.8376362
1489205300007757,59145.1643287,19.3779449,0.0665775388,0,zr,340.2665201,-0.8376109
1489205300007757,59146.1971296,19.4200306,0.068661958,0,zr,340.266576,-0.8376248
1489205300007757,59146.1976042,19.3784657,0.0666029081,0,zr,340.2665502,-0.8376211
1489205300007757,59153.1820833,19.4563866,0.0705123022,0,zr,340.2665457,-0.8376339
1489205300007757,59155.2017593,19.3811016,0.0667317584,0,zr,340.2665853,-0.8376103
1489205300007757,59155.2022222,19.5307655,0.0744433478,0,zr,340.2665743,-0.8376122
1489205300007757,59165.1247106,19.4847565,0.0719885677,0,zr,340.2665888,-0.8376183
1489205300007757,59165.1251852,19.4281712,0.0690722167,0,zr,340.2665412,-0.8376394
