oid,mjd,mag,magerr,catflags,filtercode,ra,dec
1786113200017895,58430.3696644,19.9127541,0.128080934,0,zg,128.6245702,54.8890997
1786113200017895,58439.4430324,19.8692169,0.124711841,0,zg,128.6245579,54.8890965
1786113200017895,58442.4328704,19.7830315,0.118095249,0,zg,128.6245717,54.889057
1786113200017895,58482.5531134,19.6909714,0.111163147,0,zg,128.6245625,54.8891105
1786113200017895,58539.2419792,20.0710068,0.140283257,32768,zg,128.6243539,54.8892113
1786113200017895,58540.1811458,19.962368,0.131925821,0,zg,128.6245714,54.8891061
1786113200017895,58588.2561111,19.9286194,0.129310489,32768,zg,128.6243785,54.8891346
1786113200017895,58758.5079051,20.3998489,0.162652969,0,zg,128.6244459,54.8891122
1786113200017895,58765.5094213,20.3153324,0.157644719,0,zg,128.6246086,54.8891364
1786113200017895,58778.5399421,20.0683937,0.140084431,0,zg,128.62489,54.8890208
1786113200017895,58805.5177546,20.1349316,0.145091265,0,zg,128.6242736,54.8891127
1786113200017895,58805.518206,20.2297497,0.151932299,0,zg,128.6245232,54.8890685
1786113200017895,58876.1979282,20.8152161,0.189164162,32768,zg,128.6244334,54.8890842
1786113200017895,58876.1983681,21.0902939,0.208189487,32768,zg,128.6245708,54.8891004
1786113200017895,58879.1891319,20.0860176,0.14142248,0,zg,128.6245249,54.8890621
1786113200017895,58898.2083102,20.7222099,0.182731509,32768,zg,128.6250855,54.8890646
1786113200017895,58898.2242708,20.8752136,0.193313837,32768,zg,128.6247463,54.8891689
1786113200017895,58900.3057755,20.6359482,0.176765442,0,zg,128.6243099,54.8888746
1786113200017895,59124.5211458,20.3715725,0.161061168,0,zg,128.6245713,54.8892515
1786113200017895,59142.4624421,21.1022167,0.209014058,32768,zg,128.6246365,54.8890679
1787116200000069,58427.4117477,19.7556496,0.102774292,32768,zg,128.6248373,54.8890952
1787116200000069,58430.3857407,19.9396706,0.115508705,0,zg,128.6245373,54.8890626
1787116200000069,58439.4472917,19.9273624,0.11464078,0,zg,128.624552,54.8890743
1787116200000069,58443.3302199,19.9001236,0.112726331,0,zg,128.6245238,54.889095
1787116200000069,58482.5498958,19.9454861,0.115919352,0,zg,128.624432,54.8891491
1787116200000069,58487.4723843,19.6498394,0.0957784951,0,zg,128.6245784,54.8891089
1787116200000069,58539.2410648,18.9694366,0.0590014383,32768,zg,128.6246634,54.8892592
1787116200000069,58560.2077083,19.7411423,0.101798654,0,zg,128.6246193,54.8892066
1787116200000069,58585.191169,19.8633099,0.110154942,0,zg,128.6246175,54.8890425
1787116200000069,58805.5127546,20.0485458,0.123230025,0,zg,128.6246629,54.8890679
1787116200000069,58876.2210185,20.4079399,0.147365659,0,zg,128.6243766,54.8890678
1787116200000069,58876.2214699,20.5576935,0.156098843,0,zg,128.6244551,54.8890729
1787116200000069,58898.226088,20.6036282,0.159095049,0,zg,128.6244767,54.8890957
1787116200000069,58900.307581,20.621067,0.160232544,0,zg,128.6245686,54.8890711
1787116200000069,59144.4704398,20.8418255,0.174631953,0,zg,128.62454,54.8891356
1787116200000069,59144.4709028,20.7277222,0.16718936,0,zg,128.6246702,54.8892163
1787116200000069,59163.430162,20.5506439,0.155639052,0,zg,128.6244607,54.8892233
