oid,mjd,mag,magerr,catflags,filtercode,ra,dec
569107200008463,58202.2644676,18.176815,0.0321239606,0,zg,136.8130704,18.6419275
569107200008463,58206.1906713,18.0921707,0.0303556919,0,zg,136.8130813,18.6419298
569107200008463,58206.2543519,18.2083893,0.0328179039,0,zg,136.8130695,18.6419104
569107200008463,58210.2131829,18.1038132,0.030591147,32768,zg,136.813066,18.6419299
569107200008463,58210.2300116,18.2398682,0.0335290469,32768,zg,136.8130404,18.6418661
569107200008463,58233.2351852,18.2143345,0.032950718,0,zg,136.8130554,18.6419177
569107200008463,58236.1515509,18.1357841,0.0312503576,0,zg,136.8131005,18.6419364
569107200008463,58236.2082523,18.158226,0.0317242667,0,zg,136.8130676,18.641963
569107200008463,58243.1940162,18.2102127,0.0328585804,32768,zg,136.8130546,18.6419521
569107200008463,58249.1720949,18.132719,0.0311863385,32768,zg,136.8131356,18.6419715
569107200008463,58380.5227199,18.1676292,0.0319256335,0,zg,136.8130108,18.6419089
569107200008463,58425.5406481,18.1955376,0.0325331278,0,zg,136.8131051,18.6419102
569107200008463,58427.5510301,18.1349869,0.0312336944,0,zg,136.8130712,18.6419046
569107200008463,58428.5415046,18.1623268,0.0318118818,0,zg,136.8130756,18.6419178
569107200008463,58430.4151042,18.1132545,0.0307838842,0,zg,136.8130791,18.6419025
569107200008463,58431.4750347,18.087925,0.0302704107,0,zg,136.8131399,18.6419302
569107200008463,58434.5048495,18.1477127,0.0315010957,0,zg,136.813146,18.6419158
569107200008463,58437.4837616,18.1494904,0.0315386765,0,zg,136.8130753,18.6419605
569107200008463,58439.4655093,18.1381569,0.0313000157,0,zg,136.8130916,18.6419062
569107200008463,58440.4996528,18.1261368,0.0310494807,0,zg,136.8130935,18.6419137
569107200008463,58443.5231713,18.0816803,0.0301455874,0,zg,136.8130142,18.641929
569107200008463,58461.4534375,18.1438103,0.0314187631,0,zg,136.8130962,18.6419184
569107200008463,58464.4662269,18.1106491,0.030730553,0,zg,136.8130963,18.6419249
569107200008463,58467.4540278,18.1721649,0.0320233628,32768,zg,136.8131048,18.6419398
569107200008463,58480.5015972,18.0861435,0.030234741,0,zg,136.8131334,18.6418994
569107200008463,58482.5135417,18.0625801,0.0297680385,0,zg,136.8130873,18.6419188
569107200008463,58491.4395949,18.0969982,0.0304530412,0,zg,136.8130736,18.6419107
569107200008463,58494.4683449,18.1534576,0.0316227898,0,zg,136.8130633,18.6419093
569107200008463,58506.4891435,18.1971092,0.0325677991,0,zg,136.8130405,18.6419453
569107200008463,58509.2451389,18.1562824,0.0316828638,0,zg,136.813071,18.6419555
569107200008463,58526.414375,18.1825809,0.0322492681,0,zg,136.8130364,18.6419557
569107200008463,58534.273206,17.9878159,0.0283503365,32768,zg,136.8131385,18.6419365
569107200008463,58541.2539583,18.0892982,0.0302979574,0,zg,136.8131197,18.6419484
569107200008463,58556.2698727,18.0669746,0.0298543349,0,zg,136.8130854,18.641931
569107200008463,58562.2326157,18.1294727,0.0311187394,0,zg,136.8130834,18.6419216
569107200008463,58567.190544,18.1406822,0.0313529819,0,zg,136.8130619,18.6419622
569107200008463,58572.1906944,18.1344681,0.0312228613,32768,zg,136.8131092,18.6418814
569107200008463,58575.2071759,18.0731468,0.0299761221,32768,zg,136.8131162,18.641914
569107200008463,58581.213206,18.072691,0.029967092,0,zg,136.8130915,18.6419231
569107200008463,58584.2256713,18.0684662,0.0298836976,0,zg,136.8130868,18.6418829
569107200008463,58592.1490972,18.0675163,0.0298649836,0,zg,136.813093,18.6418979
569107200008463,58598.2134838,18.0733032,0.0299792141,0,zg,136.8130815,18.6419043
569107200008463,58602.1878356,18.010561,0.0287716705,32768,zg,136.8130617,18.6419009
569107200008463,58606.151875,18.0239334,0.0290233959,0,zg,136.8130935,18.6419184
569107200008463,58609.1862384,18.0457535,0.0294406656,0,zg,136.8130916,18.6418959
569107200008463,58749.5050694,18.078228,0.0300768726,0,zg,136.8130827,18.6418925
569107200008463,58760.4847685,18.0469666,0.0294641126,0,zg,136.8130959,18.6418612
569107200008463,58764.5215856,18.043251,0.0293924026,0,zg,136.8130748,18.6418966
569107200008463,58767.4959838,18.065279,0.0298210029,0,zg,136.8130532,18.6419064
569107200008463,58770.5281944,18.0076561,0.0287173782,0,zg,136.8130539,18.641929
569107200008463,58781.4661806,18.106102,0.0306377243,0,zg,136.8131951,18.6419795
569107200008463,58784.4955208,18.0227566,0.0290011279,0,zg,136.8131061,18.6419945
569107200008463,58788.5193981,18.087883,0.0302695744,0,zg,136.8130909,18.6419092
569107200008463,58791.5284954,18.0881901,0.0302757416,0,zg,136.8130912,18.6419226
569107200008463,58794.5490625,18.0327415,0.0291908663,0,zg,136.813095,18.6419212
569107200008463,58798.5445718,18.0896759,0.0303055421,32768,zg,136.8131489,18.641897
569107200008463,58804.4810764,18.052597,0.029573217,0,zg,136.8131317,18.6418838
569107200008463,58812.4243519,18.1554222,0.0316645429,0,zg,136.8130927,18.6419181
569107200008463,58827.548287,18.151083,0.031572409,32768,zg,136.813116,18.6419248
