oid,mjd,mag,magerr,catflags,filtercode,ra,dec
401305200005535,58337.4755324,18.8527203,0.0806907937,0,zi,38.7915465,-3.4755565
401305200005535,58342.3937153,18.8047905,0.0777653828,0,zi,38.7915379,-3.4756658
401305200005535,58347.3916088,18.9091988,0.08426027,0,zi,38.7915258,-3.475618
401305200005535,58365.3247801,18.7257881,0.0731491968,32768,zi,38.7915979,-3.4755941
401305200005535,58369.3465162,18.8921986,0.0831718817,0,zi,38.7915412,-3.4755979
401305200005535,58373.3461921,18.8299313,0.0792879909,0,zi,38.7915106,-3.4755416
401305200005535,58377.3253704,18.8837891,0.0826379731,0,zi,38.7915284,-3.4755885
401305200005535,58382.2798727,18.7804451,0.0763156414,0,zi,38.791404,-3.4756441
401305200005535,58390.2828125,18.8971367,0.0834867582,0,zi,38.7915704,-3.4756124
401305200005535,58397.3208218,18.8516579,0.0806249306,64,zi,38.7915258,-3.4755893
401305200005535,58423.2553588,19.0045967,0.0905910358,0,zi,38.7915595,-3.4756025
401305200005535,58427.2753472,19.1685486,0.102347717,32768,zi,38.7915278,-3.4755818
401305200005535,58435.2461458,18.791996,0.0770004541,64,zi,38.7914896,-3.4755914
