oid,mjd,mag,magerr,catflags,filtercode,ra,dec
824115200000626,58202.3700231,15.115159,0.0116419857,0,zg,243.4882352,65.7194343
824115200000626,58203.3694907,15.105052,0.0116349347,0,zg,243.4882185,65.7194196
824115200000626,58203.3917245,15.1102819,0.0116385678,0,zg,243.4882445,65.7194411
824115200000626,58203.3931366,15.1046925,0.0116346879,0,zg,243.4882367,65.7194352
824115200000626,58203.4037037,15.1087751,0.0116375173,0,zg,243.488233,65.7194311
824115200000626,58203.4046181,15.0958738,0.0116286408,0,zg,243.4882375,65.7194368
824115200000626,58204.3479282,15.0814724,0.0116189672,0,zg,243.4882201,65.7194287
824115200000626,58204.3735185,15.0732059,0.0116135282,0,zg,243.4881855,65.7194397
824115200000626,58204.3791898,15.0665188,0.0116091846,0,zg,243.488284,65.7194392
824115200000626,58204.4153241,15.0726414,0.0116131585,0,zg,243.4882523,65.7194446
824115200000626,58204.4562384,15.0883904,0.0116235828,0,zg,243.4882463,65.7194508
824115200000626,58205.3853241,15.0821114,0.0116193919,0,zg,243.488209,65.7194486
824115200000626,58205.4130787,15.0484428,0.0115977069,0,zg,243.4883256,65.719462
824115200000626,58205.4363194,15.0631552,0.0116070211,0,zg,243.4882454,65.7194459
824115200000626,58205.4554398,15.0724831,0.0116130542,0,zg,243.4882617,65.7194495
824115200000626,58205.460706,15.0734444,0.0116136828,0,zg,243.4882167,65.7194454
824115200000626,58205.4795833,15.0625563,0.0116066365,0,zg,243.4882334,65.719451
824115200000626,58206.3478935,15.0676289,0.0116099017,0,zg,243.4881888,65.7194575
824115200000626,58206.3599074,15.0840492,0.0116206808,0,zg,243.4882014,65.7194488
824115200000626,58206.3894329,15.0843973,0.0116209127,0,zg,243.4882018,65.7194457
824115200000626,58206.3903472,15.0699167,0.0116113853,0,zg,243.488199,65.7194487
824115200000626,58206.4151736,15.0813646,0.0116188973,0,zg,243.4882276,65.7194334
824115200000626,58206.4160995,15.073103,0.0116134593,0,zg,243.4882372,65.7194334
