oid,mjd,mag,magerr,catflags,filtercode,ra,dec
402208300026884,58319.4647454,19.8472099,0.120325364,0,zr,40.7796013,-4.1080608
402208300026884,58323.4842014,19.9594765,0.129133895,0,zr,40.7795878,-4.1080045
402208300026884,58336.4619676,19.8309441,0.119070962,0,zr,40.779588,-4.1080724
402208300026884,58340.4585185,19.7797794,0.115168586,0,zr,40.7796348,-4.1079782
402208300026884,58343.5003704,19.8877487,0.123477742,0,zr,40.7795998,-4.1080822
402208300026884,58345.475706,20.0059891,0.132842377,0,zr,40.7796037,-4.1080834
402208300026884,58346.4388426,19.9603615,0.129204154,0,zr,40.7795774,-4.1080667
402208300026884,58346.454537,19.8303032,0.119021647,0,zr,40.7795955,-4.1080348
402208300026884,58347.4413773,20.0505905,0.136417389,0,zr,40.7795351,-4.1080465
402208300026884,58348.4585764,19.9101524,0.125234604,0,zr,40.7795771,-4.108071
402208300026884,58349.495081,19.8916855,0.123785697,0,zr,40.7795745,-4.1080893
402208300026884,58349.4959954,20.0356979,0.135222331,0,zr,40.7796042,-4.1080395
402208300026884,58352.5053241,19.8558617,0.120995052,0,zr,40.7795846,-4.1080386
402208300026884,58352.5062384,19.9326363,0.127007008,0,zr,40.7795995,-4.1080516
402208300026884,58353.4404167,20.0363636,0.135275692,0,zr,40.7795897,-4.108057
402208300026884,58353.4838889,19.9277782,0.126623318,0,zr,40.7796362,-4.1080749
402208300026884,58354.4410185,20.0753098,0.138402849,0,zr,40.7796188,-4.1081992
402208300026884,58355.398125,20.0240097,0.134285316,0,zr,40.7796148,-4.1081032
402208300026884,58355.3995023,19.9101982,0.125238165,0,zr,40.7795754,-4.1081541
402208300026884,58355.4986343,20.0328255,0.134991914,0,zr,40.7796011,-4.1080525
402208300026884,58356.4386458,19.9301109,0.126807541,0,zr,40.7796498,-4.1080465
402208300026884,58357.4587269,19.7430477,0.112410761,0,zr,40.7796308,-4.1080354
402208300026884,58359.5002431,19.9825726,0.130972177,0,zr,40.7796138,-4.1080649
402208300026884,58363.4783796,19.8856201,0.123311296,0,zr,40.7796078,-4.1079735
402208300026884,58364.4985185,20.0376263,0.135377049,0,zr,40.7795736,-4.1080642
402208300026884,58365.4970139,19.8767967,0.122622594,0,zr,40.7796263,-4.1080904
402208300026884,58366.4964005,19.8235149,0.118500188,0,zr,40.7796152,-4.1080662
402208300026884,58366.4991435,20.024931,0.134359047,0,zr,40.7796091,-4.1080807
402208300026884,58368.4396296,19.9494247,0.128336102,0,zr,40.7795043,-4.1079954
402208300026884,58369.4341667,20.0592155,0.137110054,0,zr,40.7796103,-4.1080062
402208300026884,58370.4989583,19.8645477,0.121669181,0,zr,40.7795879,-4.1080654
402208300026884,58372.4837153,19.9582939,0.129039958,0,zr,40.7796034,-4.108044
402208300026884,58372.4874421,19.9872437,0.131344736,0,zr,40.7795928,-4.1080639
402208300026884,58373.4783681,19.8540382,0.120853804,0,zr,40.7796065,-4.1080109
402208300026884,58374.5002431,19.8303585,0.119025946,0,zr,40.7795211,-4.1080542
402208300026884,58375.4853704,20.0260868,0.134451732,0,zr,40.7795919,-4.1080325
402208300026884,58375.4862847,19.870121,0.122102559,0,zr,40.7796076,-4.1080563
402208300026884,58376.418831,20.0481892,0.136224642,0,zr,40.7796084,-4.1080458
402208300026884,58377.4293866,20.02425,0.134304404,0,zr,40.7795807,-4.108062
402208300026884,58378.4331366,19.8727608,0.122308038,0,zr,40.779628,-4.1080331
402208300026884,58378.4340509,19.9832878,0.131029218,0,zr,40.7795709,-4.1080567
402208300026884,58379.4213194,19.9781456,0.130619243,0,zr,40.7795942,-4.1080511
402208300026884,58380.4245949,20.1065578,0.140913203,0,zr,40.7795693,-4.1081006
402208300026884,58382.3698727,20.0623245,0.137359768,0,zr,40.7795677,-4.1080099
402208300026884,58382.3707986,19.8371849,0.119551487,0,zr,40.7796454,-4.1080062
402208300026884,58383.3989468,20.0561581,0.136864588,0,zr,40.7795781,-4.1080004
402208300026884,58397.4333333,19.9547653,0.128759786,0,zr,40.7795817,-4.1080918
402208300026884,58425.2953472,20.0421791,0.135742232,0,zr,40.7796017,-4.1080805
402208300026884,58428.265081,19.9650612,0.129577681,0,zr,40.7796155,-4.1081482
402208300026884,58456.2200347,19.9732475,0.130229175,0,zr,40.7794871,-4.1081687
402208300026884,58456.2545255,19.8378792,0.119604968,0,zr,40.7795722,-4.108073
402208300026884,58464.2734606,20.0023766,0.132553518,0,zr,40.7795052,-4.1081065
402208300026884,58468.254838,20.0527439,0.136590421,0,zr,40.7795241,-4.1080405
402208300026884,58475.2939468,19.5301666,0.0972639322,0,zr,40.7796359,-4.1080968
402208300026884,58481.3117245,19.7644253,0.114011168,0,zr,40.7794492,-4.1081274
402208300026884,58486.144919,20.0631676,0.137427554,0,zr,40.7794934,-4.1078584
402208300026884,58487.2343171,19.8628635,0.121538334,0,zr,40.7795668,-4.1081361
402208300026884,58490.1825926,19.9191551,0.125943244,0,zr,40.7795396,-4.1079417
402208300026884,58491.2187616,20.0698814,0.137966886,0,zr,40.77958,-4.1080373
402208300026884,58491.2196644,20.0631428,0.137425438,0,zr,40.7796435,-4.1080225
402208300026884,58493.1282639,20.0872078,0.139358908,0,zr,40.7795969,-4.1080624
402208300026884,58503.1283796,19.8243084,0.118561022,0,zr,40.7795866,-4.1079829
402208300026884,58507.2366667,19.9800091,0.130767837,0,zr,40.7794533,-4.1081596
402208300026884,58514.113669,20.1986027,0.148268074,0,zr,40.7795904,-4.1080391
402208300026884,58523.1712037,19.788475,0.115826927,0,zr,40.7795105,-4.1080395
402208300026884,58540.1249537,20.203331,0.148642674,0,zr,40.7795444,-4.1080451
402208300026884,58692.488206,19.770401,0.114460878,0,zr,40.779584,-4.1081208
402208300026884,58693.4963657,19.8179893,0.118076563,0,zr,40.7796571,-4.1080547
402208300026884,58694.485625,19.805378,0.117112473,0,zr,40.779596,-4.10803
402208300026884,58695.4812153,19.6574287,0.106139325,0,zr,40.7795874,-4.1080745
402208300026884,58695.4888194,19.7426682,0.112382494,0,zr,40.7796296,-4.1081402
402208300026884,58696.4836458,19.7776833,0.115010135,0,zr,40.7796185,-4.1080366
402208300026884,58698.4839815,19.9711094,0.1300589,32768,zr,40.7796443,-4.1080135
402208300026884,58704.5001968,19.6345253,0.1045013,0,zr,40.779646,-4.1080715
402208300026884,58707.4990509,19.8555107,0.12096788,0,zr,40.7795595,-4.1081192
402208300026884,58708.4993287,19.8172798,0.118022144,0,zr,40.7795832,-4.10809
402208300026884,58711.4410069,19.7309666,0.111512259,0,zr,40.7796081,-4.108083
402208300026884,58713.504919,19.5688591,0.0999030843,0,zr,40.7795628,-4.1080989
402208300026884,58714.4228472,19.7195015,0.110663533,0,zr,40.7796767,-4.1080446
402208300026884,58714.4382407,19.3870029,0.0879707187,0,zr,40.7796132,-4.1080712
402208300026884,58718.4808796,19.652729,0.105801761,0,zr,40.7795967,-4.1080921
402208300026884,58727.5147106,19.6260681,0.103900805,0,zr,40.7796124,-4.1080798
402208300026884,58732.4790625,19.7430801,0.112413175,0,zr,40.7796225,-4.1080425
402208300026884,58735.4844444,19.9631958,0.129429445,0,zr,40.7795627,-4.1080162
402208300026884,58738.3957755,19.6426964,0.105083659,0,zr,40.779555,-4.108012
402208300026884,58741.4393519,19.8048325,0.117070913,0,zr,40.779631,-4.1081075
402208300026884,58748.440081,19.7087975,0.10987477,0,zr,40.7796113,-4.107997
402208300026884,58751.3140741,19.8540916,0.120857857,0,zr,40.7795318,-4.1080973
402208300026884,58757.5166667,19.944582,0.127952218,0,zr,40.779672,-4.1079778
402208300026884,58760.3280208,19.8903732,0.123683065,0,zr,40.7795529,-4.1081315
402208300026884,58763.3569907,19.7835999,0.115457617,0,zr,40.7795506,-4.1080828
402208300026884,58775.3392824,19.8536873,0.120826557,0,zr,40.7796183,-4.1080311
402208300026884,58778.3806134,19.7673607,0.114231892,0,zr,40.7795748,-4.1080087
402208300026884,58790.3745139,19.9190044,0.125931323,0,zr,40.779616,-4.1080544
402208300026884,58793.3645255,19.85186,0.120685041,0,zr,40.7796371,-4.1080611
402208300026884,58800.314919,19.6673374,0.106853321,0,zr,40.7796112,-4.1080332
402208300026884,58811.2973611,19.7712154,0.114522226,0,zr,40.7796834,-4.1080107
402208300026884,58812.2878472,19.9663849,0.129683018,0,zr,40.7795846,-4.1080633
402208300026884,58859.1679745,19.9864464,0.131281197,0,zr,40.7795365,-4.1080033
402208300026884,58862.1982523,19.8528748,0.120763682,0,zr,40.7795459,-4.1080535
402208300026884,58872.1394213,19.7901745,0.115955874,0,zr,40.7796504,-4.1080844
402208300026884,58872.1403241,19.8868637,0.123408571,0,zr,40.7795645,-4.1080762
402208300026884,58873.1576852,20.04039,0.135598749,0,zr,40.7796073,-4.1080178
402208300026884,58875.1233912,19.9659843,0.129651159,0,zr,40.7795598,-4.1080607
402208300026884,58876.1163079,19.6734123,0.107292622,32768,zr,40.7796325,-4.1080194
402208300026884,58886.1183565,19.4715366,0.0933672786,0,zr,40.7794947,-4.1080872
402208300026884,58887.1404745,19.5583591,0.0991816819,0,zr,40.7794984,-4.1081172
402208300026884,58891.1068519,19.5862007,0.101102985,0,zr,40.7796473,-4.107983
402208300026884,58891.122338,19.7471066,0.11271362,0,zr,40.7795664,-4.1080912
402208300026884,58892.1406597,19.6969414,0.10900519,0,zr,40.7795906,-4.1080767
