oid,mjd,mag,magerr,catflags,filtercode,ra,dec
473201200005489,58199.3034259,13.1205835,0.0134829842,32768,zr,187.2779276,2.052405
473201200005489,58214.2387037,13.1172094,0.0134876929,32768,zr,187.2779461,2.052424
473201200005489,58214.2424306,13.1140127,0.0134921568,32768,zr,187.2779338,2.0524261
473201200005489,58217.2793634,13.1244888,0.0134775396,0,zr,187.2779289,2.0524136
473201200005489,58217.2802778,13.1166782,0.0134884343,0,zr,187.2779282,2.0524185
473201200005489,58217.304375,13.1135969,0.013492737,0,zr,187.2779234,2.0524178
473201200005489,58217.3053009,13.1176958,0.013487014,0,zr,187.2779296,2.0524071
473201200005489,58218.2766782,13.11306,0.0134934857,0,zr,187.2779158,2.0524196
473201200005489,58218.3025694,13.1191921,0.013484925,0,zr,187.2779447,2.0524313
473201200005489,58219.2444444,13.1240368,0.0134781692,0,zr,187.277939,2.0524262
473201200005489,58219.3039815,13.1432743,0.0134514011,32768,zr,187.2780272,2.0525019
473201200005489,58221.2550347,13.1316071,0.0134676239,0,zr,187.2780468,2.0526334
473201200005489,58224.2624074,13.1272688,0.0134736644,0,zr,187.2779222,2.0524463
473201200005489,58224.2633102,13.1207199,0.0134827951,0,zr,187.2779393,2.0524357
473201200005489,58224.2795486,13.1215458,0.0134816421,0,zr,187.2779291,2.0524335
473201200005489,58224.2813773,13.1279888,0.0134726614,0,zr,187.277929,2.0524302
473201200005489,58227.2712616,13.1202488,0.0134834517,0,zr,187.2779672,2.0524443
473201200005489,58233.1724421,13.123477,0.0134789506,0,zr,187.2779058,2.0524175
473201200005489,58233.1733565,13.1470137,0.01344621,0,zr,187.2779257,2.0524194
473201200005489,58242.2715625,13.1241541,0.0134780053,0,zr,187.2779183,2.0524091
473201200005489,58243.1688079,13.1218538,0.0134812137,0,zr,187.2778928,2.0524489
473201200005489,58244.1693634,13.1365919,0.0134606892,0,zr,187.2779078,2.0524271
473201200005489,58245.1681829,13.1328068,0.013465954,0,zr,187.2779159,2.0524102
473201200005489,58245.1887037,13.1303892,0.0134693198,32768,zr,187.2779179,2.0524222
473201200005489,58247.2323727,13.1735258,0.0134095075,0,zr,187.2779426,2.0524523
473201200005489,58249.2316088,13.1841288,0.013394882,32768,zr,187.2781047,2.052556
473201200005489,58249.2325347,13.1489353,0.0134435436,0,zr,187.2780679,2.052541
473201200005489,58250.2140046,13.1305113,0.0134691494,0,zr,187.2779753,2.0524935
473201200005489,58257.2105556,13.1243277,0.0134777641,0,zr,187.2779224,2.0524187
473201200005489,58257.2114699,13.116642,0.0134884855,0,zr,187.27794,2.0524192
473201200005489,58258.2090972,13.1186743,0.0134856477,0,zr,187.2779396,2.0524272
473201200005489,58259.2490741,13.1788559,0.0134021528,32768,zr,187.2779128,2.0524242
473201200005489,58267.2935417,13.117219,0.013487679,0,zr,187.2779309,2.0524259
473201200005489,58267.294456,13.1321344,0.01346689,0,zr,187.2779432,2.0524225
473201200005489,58269.1883681,13.1057892,0.0135036483,0,zr,187.2779994,2.0524543
473201200005489,58271.1879051,13.0995207,0.0135124214,0,zr,187.2779463,2.0524311
473201200005489,58274.1956481,13.1370363,0.0134600718,0,zr,187.2779273,2.0524117
473201200005489,58274.1965625,13.1262035,0.0134751499,0,zr,187.2779349,2.0524134
473201200005489,58277.2328472,13.1152563,0.0134904189,0,zr,187.277926,2.0524157
473201200005489,58277.2458912,13.1240606,0.0134781357,0,zr,187.2779244,2.0524142
473201200005489,58278.2329282,13.1314564,0.0134678343,0,zr,187.2779356,2.0524152
473201200005489,58280.1726389,13.1007195,0.0135107432,0,zr,187.2779232,2.0524203
473201200005489,58280.173588,13.1085987,0.01349972,0,zr,187.2779297,2.0524149
473201200005489,58281.1921528,13.1211195,0.0134822372,0,zr,187.2779882,2.0524498
473201200005489,58283.1913079,13.136323,0.0134610636,0,zr,187.2779329,2.0524222
473201200005489,58283.1945255,13.1128778,0.0134937409,0,zr,187.2779312,2.0524141
473201200005489,58284.2086111,13.1277399,0.0134730088,0,zr,187.2779214,2.0524101
473201200005489,58293.2369329,13.1175814,0.0134871742,0,zr,187.277934,2.0524377
473201200005489,58296.235,13.1223726,0.0134804901,0,zr,187.2779135,2.0524406
473201200005489,58437.5475463,13.0860243,0.013531344,0,zr,187.2779,2.0524244
473201200005489,58448.5170949,13.0944948,0.0135194631,0,zr,187.2779176,2.052415
473201200005489,58448.5444907,13.0995684,0.0135123543,0,zr,187.277927,2.0524109
473201200005489,58465.50375,13.0808287,0.01353864,0,zr,187.2779045,2.0524263
473201200005489,58467.5451273,13.101512,0.0135096349,0,zr,187.2779247,2.0524074
473201200005489,58468.5236343,13.0630779,0.0135636181,0,zr,187.2779235,2.0524227
473201200005489,58468.5245486,13.0934782,0.0135208881,0,zr,187.2779317,2.052399
473201200005489,58474.4807639,13.102891,0.0135077033,0,zr,187.27792,2.052404
473201200005489,58474.4816782,13.0912161,0.0135240592,0,zr,187.277928,2.0524139
473201200005489,58476.4841667,13.088047,0.0135285053,0,zr,187.277928,2.052405
473201200005489,58486.5019907,13.0912933,0.0135239512,0,zr,187.2779243,2.0524192
473201200005489,58487.5288426,13.0871458,0.0135297691,0,zr,187.2779283,2.0524022
473201200005489,58487.5297569,13.0891161,0.0135270059,0,zr,187.2779262,2.0524116
473201200005489,58491.5438079,13.1006193,0.0135108829,0,zr,187.2779076,2.0524135
473201200005489,58491.5461111,13.0762587,0.0135450633,0,zr,187.2779224,2.0524221
473201200005489,58492.480706,13.0391788,0.0135973711,32768,zr,187.2779223,2.0524206
473201200005489,58493.4792014,13.0835991,0.0135347489,0,zr,187.2779217,2.0524157
473201200005489,58493.5022222,13.073061,0.0135495597,0,zr,187.2779226,2.0524158
473201200005489,58494.5443403,13.0896568,0.013526246,0,zr,187.277932,2.0524203
473201200005489,58494.5475694,13.0859776,0.0135314092,0,zr,187.2779233,2.0524166
473201200005489,58502.5232523,13.1049166,0.0135048702,0,zr,187.2779186,2.0524074
473201200005489,58502.5241551,13.1052608,0.0135043887,0,zr,187.2779142,2.0524038
473201200005489,58503.483044,13.0954142,0.0135181742,0,zr,187.2779242,2.0524158
473201200005489,58505.5234606,13.0930967,0.0135214226,0,zr,187.2779112,2.0524269
473201200005489,58505.5413889,13.0835953,0.0135347527,0,zr,187.2779036,2.0524167
473201200005489,58506.5478472,13.0646477,0.0135614062,0,zr,187.2779446,2.0524244
473201200005489,58511.5252199,13.119525,0.0134844603,0,zr,187.2778688,2.0524519
473201200005489,58512.4548958,13.3736982,0.0131389191,32768,zr,187.277923,2.0524049
473201200005489,58512.4960532,13.0685787,0.0135558685,32768,zr,187.2779226,2.0524092
473201200005489,58513.4552431,13.0066614,0.0136435153,32768,zr,187.2779372,2.0524099
473201200005489,58514.418669,13.1284132,0.0134720709,32768,zr,187.2779193,2.0524374
473201200005489,58514.4195833,12.9274702,0.013756915,32768,zr,187.2779183,2.0524152
473201200005489,58522.5265046,13.0854836,0.013532103,0,zr,187.277924,2.0524251
473201200005489,58524.4656481,13.0777903,0.0135429092,0,zr,187.2779195,2.0524269
473201200005489,58524.4665625,13.0765676,0.0135446284,0,zr,187.2779214,2.0524244
473201200005489,58526.4849653,13.0683966,0.0135561256,0,zr,187.2779442,2.0524415
473201200005489,58538.3580903,13.0926313,0.0135220746,32768,zr,187.2779178,2.052404
473201200005489,58539.3358565,13.0515327,0.013579906,0,zr,187.2779177,2.0524254
473201200005489,58543.3562616,13.065484,0.013560228,0,zr,187.2779338,2.0524115
473201200005489,58543.3571759,13.0785627,0.0135418251,0,zr,187.2779284,2.0524114
473201200005489,58547.2980556,13.0602379,0.0135676228,0,zr,187.2779234,2.0524041
473201200005489,58558.3356134,13.0450239,0.0135891018,0,zr,187.2779395,2.0524116
473201200005489,58561.3368866,13.0483913,0.0135843446,0,zr,187.2779226,2.052413
473201200005489,58567.3572222,13.0388279,0.0135978684,0,zr,187.2779368,2.0524278
473201200005489,58567.358125,13.03722,0.0136001445,0,zr,187.2779297,2.0524304
473201200005489,58568.2942477,13.0526409,0.0135783423,0,zr,187.2779206,2.052422
473201200005489,58572.2956597,13.0726576,0.0135501288,32768,zr,187.2779275,2.0524155
473201200005489,58572.2965509,13.0597086,0.0135683678,32768,zr,187.2779197,2.052416
473201200005489,58573.2735417,13.0376997,0.0135994656,0,zr,187.277927,2.0524222
473201200005489,58575.2497917,13.047163,0.0135860806,0,zr,187.2779215,2.0524172
473201200005489,58580.2765046,13.045186,0.0135888727,0,zr,187.2779307,2.0524148
