oid,mjd,mag,magerr,catflags,filtercode,ra,dec
822203400011253,58198.3704398,14.0968828,0.0122314403,0,zr,219.0920314,58.7942795
822203400011253,58198.3846528,14.1129112,0.0122222221,0,zr,219.092019,58.7942796
822203400011253,58198.4096181,14.0734911,0.0122451279,0,zr,219.0920296,58.7942824
822203400011253,58199.3239352,14.1328096,0.0122109624,32768,zr,219.0920222,58.7942951
822203400011253,58199.3415162,14.0960732,0.0122319097,32768,zr,219.0920372,58.7942834
822203400011253,58214.319456,13.9966688,0.0122919716,32768,zr,219.0920197,58.7942962
822203400011253,58214.3372222,13.9985771,0.0122907739,0,zr,219.0920033,58.7943059
822203400011253,58214.3534259,14.0062647,0.0122859674,0,zr,219.0919919,58.7943043
822203400011253,58216.2434028,13.9616165,0.0123142693,0,zr,219.092066,58.7942896
822203400011253,58217.2980208,14.0145769,0.0122808004,0,zr,219.0920183,58.7942767
822203400011253,58217.3270255,14.0268354,0.012273239,32768,zr,219.0920065,58.7942703
822203400011253,58217.3597801,13.9917612,0.0122950589,0,zr,219.0920236,58.7942853
822203400011253,58217.3607639,13.9944878,0.0122933416,0,zr,219.0920148,58.7942687
822203400011253,58217.3616898,14.0074606,0.0122852214,0,zr,219.092011,58.794272
822203400011253,58217.3909838,14.0031605,0.0122879064,0,zr,219.0920215,58.7942896
822203400011253,58217.3918981,13.9952993,0.012292834,0,zr,219.0920193,58.7942752
822203400011253,58217.3928125,13.990036,0.0122961476,0,zr,219.0920196,58.7942808
822203400011253,58217.4558565,14.0067329,0.012285674,0,zr,219.0920093,58.7942804
822203400011253,58217.4643866,14.0046759,0.0122869592,0,zr,219.0920002,58.7942705
822203400011253,58218.3135417,14.0047817,0.0122868922,0,zr,219.0920176,58.7942834
822203400011253,58218.3493287,13.9793911,0.0123028914,0,zr,219.0920068,58.794281
822203400011253,58218.3502546,13.974412,0.0123060653,0,zr,219.0920204,58.7942827
822203400011253,58218.3679167,13.9768906,0.0123044848,0,zr,219.0919971,58.794279
822203400011253,58218.3711574,13.9815493,0.0123015204,0,zr,219.0919919,58.7942852
822203400011253,58218.3828472,13.9702139,0.0123087484,0,zr,219.0920125,58.7942747
822203400011253,58218.3997917,13.9953499,0.0122928014,0,zr,219.092006,58.7942888
822203400011253,58218.4436921,13.9909954,0.0122955432,0,zr,219.0920163,58.7942996
822203400011253,58218.4618056,13.9961586,0.0122922929,0,zr,219.0920032,58.7942875
822203400011253,58219.2220486,13.998992,0.012290515,0,zr,219.0920283,58.7942847
822203400011253,58219.2358681,14.0285378,0.0122721968,0,zr,219.0920438,58.7942849
822203400011253,58219.2858102,13.9973011,0.0122915758,0,zr,219.0920092,58.7943136
822203400011253,58219.2887616,14.0001516,0.0122897876,0,zr,219.0919821,58.7942844
822203400011253,58219.3094444,13.9856119,0.0122989453,0,zr,219.0919653,58.7943053
822203400011253,58219.3103704,13.9909067,0.0122955982,32768,zr,219.0919829,58.7942894
822203400011253,58219.3385417,13.9890451,0.0122967744,0,zr,219.091993,58.7943022
