oid,mjd,mag,magerr,catflags,filtercode,ra,dec
414306300006175,59184.3852894,14.7712746,0.0145194083,0,zi,128.911647,-4.0882524
414306300006175,59187.3163657,14.7012339,0.0146216676,0,zi,128.9116427,-4.0882587
414306300006175,59190.3915741,14.7978573,0.0144824395,0,zi,128.9116764,-4.0882572
414306300006175,59199.4616435,14.7720222,0.0145183532,0,zi,128.9116445,-4.0883103
414306300006175,59202.4771644,14.7970095,0.0144835981,0,zi,128.9116644,-4.0883148
414306300006175,59205.3986574,14.8104734,0.0144652566,32768,zi,128.9116523,-4.0883153
414306300006175,59217.3042245,14.8006964,0.0144785494,0,zi,128.9116253,-4.0882711
414306300006175,59220.3853472,14.8541651,0.014407631,32768,zi,128.91163,-4.0883419
414306300006175,59223.4194792,14.7674265,0.0145248445,0,zi,128.9116596,-4.0882882
414306300006175,59226.3646644,14.6888533,0.0146404542,0,zi,128.9116298,-4.088345
414306300006175,59229.3656019,14.6506081,0.014699772,0,zi,128.911649,-4.0883079
414306300006175,59232.2317245,14.8029861,0.0144754266,0,zi,128.9116648,-4.0882419
414306300006175,59248.2948727,14.7742157,0.0145152668,0,zi,128.9116584,-4.0883239
414306300006175,59251.2495139,14.7729568,0.0145170381,0,zi,128.911611,-4.0882623
414306300006175,59254.3147454,14.7158461,0.0145997684,0,zi,128.9116378,-4.0882763
414306300006175,59257.2937384,14.5147629,0.0149254156,32768,zi,128.9116579,-4.0881904
414306300006175,59260.3191319,14.7470007,0.0145540647,0,zi,128.9116292,-4.0882755
414306300006175,59263.2940162,14.4360867,0.0150659746,0,zi,128.9116337,-4.0882986
414306300006175,59266.2047106,14.5781631,0.0148173021,0,zi,128.9116717,-4.0883142
414306300006175,59270.2675694,14.7051296,0.0146158002,0,zi,128.9116685,-4.0882949
414306300006175,59271.3167824,14.581748,0.0148113314,0,zi,128.9116147,-4.0883616
414306300006175,59274.3074884,14.4793921,0.0149877593,0,zi,128.9116872,-4.0883355
414306300006175,59280.3159838,14.6772146,0.0146582983,0,zi,128.9116438,-4.0882854
414306300006175,59291.2585417,14.5684776,0.0148335071,0,zi,128.9116471,-4.0882409
414306300006175,59296.2551157,14.6430235,0.0147117628,0,zi,128.9116287,-4.0882898
414306300006175,59303.1694213,14.6881437,0.0146415355,0,zi,128.9116527,-4.0883422
414306300006175,59307.1699653,14.552948,0.0148597294,0,zi,128.9116587,-4.0883391
414306300006175,59312.1585301,14.4908724,0.0149673671,0,zi,128.9116863,-4.0883207
414306300006175,59315.1737384,14.3592863,0.0152095761,0,zi,128.9116672,-4.0883191
