oid,mjd,mag,magerr,catflags,filtercode,ra,dec
400307300002358,58342.3941667,19.6018295,0.130000547,0,zi,28.6455093,-3.9058273
400307300002358,58347.3920718,19.9583817,0.156922832,0,zi,28.6454184,-3.9058856
400307300002358,58351.3387384,19.7329044,0.140205741,0,zi,28.6455752,-3.9057985
400307300002358,58362.2933333,19.4656143,0.119483456,0,zi,28.6456826,-3.9059257
400307300002358,58366.2934375,19.8580132,0.149719819,0,zi,28.6458094,-3.9057987
400307300002358,58371.2733449,19.3796349,0.113007739,0,zi,28.6454584,-3.9056372
400307300002358,58375.3152315,19.8632221,0.150105625,0,zi,28.6454809,-3.9058164
400307300002358,58382.2803241,19.8298283,0.147614881,0,zi,28.6455307,-3.9058168
400307300002358,58390.2818981,19.7658997,0.142751083,0,zi,28.6456223,-3.9057822
400307300002358,58397.2937153,19.5406628,0.125249729,0,zi,28.645548,-3.9058517
400307300002358,58422.3123264,19.2983303,0.107050747,0,zi,28.6455128,-3.9058324
400307300002358,58426.2953588,19.8024445,0.145544708,32768,zi,28.6455267,-3.9058682
400307300002358,58430.2494792,19.7763596,0.143553764,0,zi,28.6455077,-3.9057966
400307300002358,58434.2468634,19.3270702,0.109135941,0,zi,28.6458431,-3.9059871
400307300002358,58718.3912384,19.9593811,0.156991735,0,zi,28.6456733,-3.9058352
400307300002358,58733.4201968,19.9244709,0.154549569,0,zi,28.645572,-3.9058032
400307300002358,58738.4010417,19.7333908,0.140243396,0,zi,28.6455806,-3.9058276
400307300002358,58747.3563079,20.1067276,0.166237697,0,zi,28.6455253,-3.9058104
400307300002358,58747.3787963,20.1492805,0.168478251,0,zi,28.6454939,-3.9058501
400307300002358,58751.3787037,19.8384438,0.148261294,0,zi,28.6455753,-3.9059503
400307300002358,58757.3591551,19.8018284,0.145497859,0,zi,28.6456094,-3.9057827
400307300002358,58761.3303356,19.7879448,0.144439995,0,zi,28.6455495,-3.9058103
400307300002358,58765.3356019,19.5942974,0.129413918,0,zi,28.645506,-3.9058866
400307300002358,59173.2651042,19.7166309,0.138944432,0,zi,28.6455549,-3.9058325
400307300002358,59182.2802778,19.8615627,0.14998284,0,zi,28.6454432,-3.9057805
400307300002358,59200.2740856,19.7647629,0.142663687,0,zi,28.6454659,-3.9059003
