oid,mjd,mag,magerr,catflags,filtercode,ra,dec
348212200007249,58303.4800231,19.2286816,0.0856657624,0,zr,23.490916,-8.6770679
348212200007249,58316.4647338,19.3176498,0.0912318304,0,zr,23.4909122,-8.6770908
348212200007249,58319.4637847,19.3152866,0.0910801291,0,zr,23.4908891,-8.6770501
348212200007249,58325.4800926,19.2606163,0.0876290351,0,zr,23.490865,-8.6770904
348212200007249,58334.4584722,19.1784477,0.0826561004,0,zr,23.4909017,-8.677024299999998
348212200007249,58337.4828935,19.2766209,0.0886276141,0,zr,23.490897,-8.677096199999998
348212200007249,58340.4389815,19.4132576,0.0975466222,0,zr,23.4908846,-8.677057899999998
348212200007249,58346.4192014,19.3865776,0.0957500562,0,zr,23.4909326,-8.6770571
348212200007249,58346.4201157,19.3857384,0.0956939906,0,zr,23.4909277,-8.6770375
348212200007249,58347.4189583,19.420784,0.0980581939,0,zr,23.4909223,-8.6770363
348212200007249,58348.4177199,19.4296436,0.098663047,0,zr,23.4909315,-8.677083299999998
348212200007249,58349.4996528,19.3424969,0.0928400159,0,zr,23.4908908,-8.6770247
348212200007249,58350.412662,19.3764629,0.095075883,0,zr,23.4909038,-8.677058
348212200007249,58351.5028125,19.3524208,0.0934887603,0,zr,23.4909406,-8.6770463
348212200007249,58352.5016667,19.3317223,0.0921397656,0,zr,23.4908991,-8.6770505
348212200007249,58352.503044,19.3348961,0.0923456103,0,zr,23.4909165,-8.6770551
348212200007249,58353.4006481,19.5496788,0.10713508,0,zr,23.4909053,-8.677054099999998
348212200007249,58353.4816088,19.394104,0.0962542221,0,zr,23.4909335,-8.6770565
348212200007249,58354.3501157,19.4579773,0.100616589,0,zr,23.4908766,-8.6770828
348212200007249,58354.4382639,19.3568516,0.093779631,0,zr,23.4908961,-8.6770502
348212200007249,58355.3953356,19.4065208,0.09709052,0,zr,23.4908984,-8.6770914
348212200007249,58355.39625,19.5464478,0.106900483,0,zr,23.4909065,-8.6770856
348212200007249,58355.4786574,19.4296074,0.0986605212,0,zr,23.4909217,-8.6770759
