oid,mjd,mag,magerr,catflags,filtercode,ra,dec
571209100000058,58217.2006713,19.0950451,0.0838922858,0,zr,155.8973691,20.7334699
571209100000058,58217.2189699,19.1216621,0.0855558962,0,zr,155.8973807,20.7334333
571209100000058,58221.2053241,19.0706882,0.0823956206,0,zr,155.897421,20.7335055
571209100000058,58224.179456,19.0063553,0.0785596967,0,zr,155.8973247,20.7334506
571209100000058,58224.1913773,19.1818409,0.0894257128,0,zr,155.8973959,20.7334085
571209100000058,58227.2468056,19.0810204,0.0830274969,0,zr,155.8973283,20.7334452
571209100000058,58231.1699653,19.0504971,0.0811734051,0,zr,155.897364,20.7334664
571209100000058,58245.1536458,19.1634693,0.0882282853,0,zr,155.8973859,20.7334724
571209100000058,58248.1623727,19.0798454,0.0829554647,0,zr,155.8973212,20.7334504
571209100000058,58257.2280671,19.00453,0.0784532651,0,zr,155.8973161,20.7334389
571209100000058,58262.1824884,19.1076107,0.0846740156,0,zr,155.8973479,20.7334902
571209100000058,58263.203588,19.0549011,0.081438601,0,zr,155.8973372,20.7334484
571209100000058,58271.1841204,19.1942577,0.0902429596,0,zr,155.897281,20.7334996
571209100000058,58425.4823148,18.9905262,0.0776416734,65535,zr,155.8973887,20.7334464
571209100000058,58431.5259838,18.8636322,0.0706446394,0,zr,155.8971606,20.7333262
571209100000058,58434.4972106,18.989069,0.0775576979,0,zr,155.8973438,20.7331932
571209100000058,58437.5226968,19.0856476,0.0833119527,0,zr,155.8973454,20.7334715
571209100000058,58440.5395255,18.9981174,0.0780806467,0,zr,155.8973452,20.7334241
571209100000058,58442.4036111,18.8710423,0.0710357875,0,zr,155.8973902,20.7334247
571209100000058,58443.4423495,18.9513054,0.0754106566,0,zr,155.8973549,20.7334127
571209100000058,58447.4614931,19.0276394,0.0798100382,0,zr,155.8972488,20.7334496
571209100000058,58447.5408449,18.9730682,0.0766409636,0,zr,155.8973729,20.7334414
571209100000058,58448.461875,18.977354,0.0768855512,0,zr,155.8973384,20.7334058
571209100000058,58449.4508912,19.2077637,0.0911391303,0,zr,155.8974088,20.7334915
571209100000058,58461.5420833,19.1897507,0.0899455547,0,zr,155.8973154,20.7334823
571209100000058,58467.5235185,19.0322571,0.08008378,32768,zr,155.8971869,20.733423
571209100000058,58468.4981713,19.105545,0.0845450461,0,zr,155.8973478,20.7334273
571209100000058,58471.525081,19.0477581,0.0810089558,0,zr,155.8973699,20.7334367
571209100000058,58474.4759722,19.1223984,0.0856023654,0,zr,155.8973135,20.7333924
571209100000058,58476.4690162,19.0807934,0.0830136016,0,zr,155.8973309,20.733434
571209100000058,58480.4529398,19.1562424,0.0877611488,0,zr,155.8971882,20.7332924
571209100000058,58481.4192361,19.2016792,0.0907344371,0,zr,155.8973062,20.733444
571209100000058,58486.4769907,19.0969677,0.0840114802,0,zr,155.8973142,20.7334247
571209100000058,58492.4421296,19.1537647,0.0876015201,32768,zr,155.8972693,20.733353
571209100000058,58493.4387153,19.0609169,0.0818020552,0,zr,155.8973519,20.7334415
571209100000058,58502.4220023,19.406498,0.105200522,0,zr,155.8973397,20.7333611
571209100000058,58502.5190509,19.1001205,0.0842072815,0,zr,155.8973268,20.7333527
571209100000058,58503.4064352,19.3686504,0.102397852,0,zr,155.8972706,20.7333801
571209100000058,58503.4230671,19.0713444,0.0824355856,0,zr,155.8973066,20.7333853
571209100000058,58503.4395139,19.1511917,0.0874359384,0,zr,155.8972687,20.7334158
571209100000058,58511.3960995,19.1088581,0.0847519413,0,zr,155.8973443,20.7334226
571209100000058,58513.4321991,19.0257034,0.0796955451,32768,zr,155.8973463,20.7334292
571209100000058,58513.439294,19.1073055,0.0846549496,32768,zr,155.8973107,20.7334445
571209100000058,58556.2117593,19.0601349,0.0817547143,0,zr,155.8973094,20.7334448
571209100000058,58559.2441088,19.0275936,0.079807356,0,zr,155.8973349,20.7333971
571209100000058,58567.2282523,19.1233196,0.0856604353,0,zr,155.8973351,20.7334273
571209100000058,58581.2347685,19.1456451,0.0870800242,0,zr,155.8973613,20.7334127
571209100000058,58584.1855208,19.1403122,0.0867390856,0,zr,155.8973474,20.7334615
571209100000058,58594.1550579,19.1750355,0.0889805183,0,zr,155.8973623,20.7334419
571209100000058,58598.1874884,19.1591034,0.0879458338,0,zr,155.8973513,20.7334178
571209100000058,58601.259838,19.1034851,0.0844166279,0,zr,155.8973601,20.7334053
571209100000058,58836.5031713,18.5391121,0.0555059686,1,zr,155.897347,20.7334927
571209100000058,58846.4202778,18.5860519,0.0574655682,1,zr,155.8973262,20.7334574
571209100000058,58846.4561806,18.6651592,0.0609381609,1,zr,155.8973006,20.733461
571209100000058,58846.4570833,18.5732574,0.0569240972,1,zr,155.8973323,20.7334995
571209100000058,58859.4387847,16.9364586,0.0202464238,1,zr,155.8974066,20.7334953
571209100000058,58866.3703819,17.9473763,0.0363922752,65535,zr,155.8973686,20.7335329
571209100000058,58866.3712847,18.1077023,0.0406512283,65535,zr,155.8973021,20.7334565
571209100000058,58890.4149537,16.1660233,0.015405573,65535,zr,155.8974868,20.7334493
571209100000058,58894.2894792,19.1740913,0.088918902,0,zr,155.897331,20.733428
571209100000058,58894.2903819,19.1783562,0.0891974568,0,zr,155.8973137,20.7334438
571209100000058,58912.2259606,19.1597137,0.0879852772,0,zr,155.8973294,20.7334307
571209100000058,59123.5136806,18.9567223,0.0757151097,0,zr,155.897261,20.733475
571209100000058,59123.5183912,19.0875816,0.0834310502,0,zr,155.8973299,20.7334836
571209100000058,59123.5231019,19.1581192,0.0878822356,0,zr,155.8973331,20.7333355
571209100000058,59123.5278356,19.0373516,0.0803867206,0,zr,155.8973143,20.7335362
571209100000058,59123.5325463,19.2405968,0.0933496431,0,zr,155.8973917,20.7334573
571209100000058,59125.5157292,19.0436897,0.0807651728,0,zr,155.8974231,20.7334179
571209100000058,59125.5204398,19.0751362,0.08266709,0,zr,155.8973157,20.7334329
571209100000058,59125.5251736,19.2003441,0.0906458497,0,zr,155.8973576,20.733461
571209100000058,59125.5298958,19.2255325,0.0923298597,0,zr,155.8973646,20.7333342
571209100000058,59125.5346296,19.1560078,0.0877460018,0,zr,155.8973309,20.7334428
571209100000058,59129.5166204,19.1896496,0.089938879,0,zr,155.8973235,20.7334419
571209100000058,59129.521331,19.0906601,0.0836210549,0,zr,155.8973256,20.7334609
571209100000058,59129.5260417,19.1655846,0.0883654654,0,zr,155.8973677,20.7334422
571209100000058,59129.5307407,19.1641979,0.0882755592,0,zr,155.8973186,20.7334414
571209100000058,59129.5354514,19.1897926,0.089948304,0,zr,155.8973707,20.7334477
571209100000058,59150.5384028,19.3173809,0.0986940339,0,zr,155.8973187,20.733496
571209100000058,59152.4759838,19.1642456,0.0882786512,0,zr,155.8973615,20.7335407
571209100000058,59155.4948495,19.1504364,0.08738745,0,zr,155.8973409,20.7334015
571209100000058,59157.4855787,19.1516151,0.0874631479,65535,zr,155.8972297,20.7334552
571209100000058,59159.4867824,19.1900215,0.089963384,0,zr,155.8973539,20.733401
571209100000058,59165.4335417,19.1966591,0.0904017165,0,zr,155.8973655,20.7334271
