oid,mjd,mag,magerr,catflags,filtercode,ra,dec
671204100002665,58216.2365741,20.0373306,0.136545748,0,zr,178.1567468,31.0213249
671204100002665,58217.2371759,20.1668701,0.147833213,0,zr,178.1569237,31.0212074
671204100002665,58217.238125,20.0089722,0.134110019,0,zr,178.1568823,31.0212748
671204100002665,58217.3081713,20.0075912,0.133991897,0,zr,178.1569006,31.0212545
671204100002665,58217.3091088,20.0261288,0.135581553,32768,zr,178.1568728,31.0212859
671204100002665,58218.2435417,19.9681911,0.130638957,0,zr,178.156864,31.0212445
671204100002665,58218.2540856,20.1058064,0.142486632,0,zr,178.1569033,31.0212701
671204100002665,58218.2982523,20.1646481,0.147638187,0,zr,178.1568825,31.0212061
671204100002665,58219.2181944,20.2009335,0.150824666,0,zr,178.1569556,31.0212396
671204100002665,58219.2415625,20.1467304,0.146066397,0,zr,178.1568947,31.0213281
671204100002665,58222.2623611,19.9427738,0.128496394,0,zr,178.1568411,31.0211353
671204100002665,58224.2176157,20.0615406,0.138637364,32768,zr,178.1570705,31.0214473
671204100002665,58224.2269676,19.8914757,0.124226764,0,zr,178.1569307,31.0212354
671204100002665,58224.2837731,20.368866,0.165431902,0,zr,178.1568058,31.0212713
671204100002665,58224.2847222,19.9960556,0.133006409,0,zr,178.1568013,31.021321
671204100002665,58231.1866435,19.9795189,0.131599098,0,zr,178.1569591,31.0212953
671204100002665,58231.2771644,20.4110546,0.168994904,0,zr,178.15687,31.0213029
671204100002665,58233.1776042,20.2562847,0.155681282,0,zr,178.1569307,31.0212677
671204100002665,58233.1790625,20.4229603,0.169987291,0,zr,178.1568851,31.0212656
671204100002665,58242.2895486,20.1538315,0.146689147,0,zr,178.1569693,31.0212497
671204100002665,58243.1722917,20.1236935,0.144049257,0,zr,178.1569301,31.0212653
671204100002665,58245.1738426,20.1541977,0.14672114,0,zr,178.1568471,31.0212929
671204100002665,58245.1747801,20.206152,0.15128307,0,zr,178.1568735,31.0212173
671204100002665,58247.2357986,20.1575489,0.147015184,0,zr,178.1568453,31.0212954
671204100002665,58248.2381134,20.1606064,0.14728336,0,zr,178.1569028,31.0212549
671204100002665,58249.2353704,19.8971882,0.124698415,0,zr,178.1565801,31.0211758
671204100002665,58254.1932639,20.2164402,0.152186587,0,zr,178.1569141,31.0213063
671204100002665,58255.2392824,20.2290497,0.15329361,0,zr,178.1569605,31.0212961
671204100002665,58255.2411458,20.2455978,0.154744893,0,zr,178.1568731,31.0212777
671204100002665,58256.2457523,20.236557,0.153952107,0,zr,178.1566643,31.02123
671204100002665,58256.2784838,20.1102982,0.142878741,0,zr,178.1568911,31.0212734
671204100002665,58257.2348958,20.0532188,0.137917265,0,zr,178.1568906,31.0212727
671204100002665,58258.2119792,20.2029591,0.151002452,0,zr,178.1569313,31.0213039
671204100002665,58258.2129167,20.1653919,0.147703469,0,zr,178.1569595,31.0212912
671204100002665,58262.2017708,20.1452351,0.145935342,0,zr,178.1568246,31.0214083
671204100002665,58262.2520718,20.1371899,0.145230561,0,zr,178.1568294,31.021169
671204100002665,58263.2340394,20.1131668,0.1431292,0,zr,178.1569295,31.0213095
671204100002665,58266.2520255,20.1131821,0.143130466,0,zr,178.1570201,31.021162
671204100002665,58267.2892477,20.2307739,0.153444871,0,zr,178.156897,31.0211854
671204100002665,58269.1822106,19.9298592,0.127414465,0,zr,178.1567359,31.0212679
671204100002665,58269.1831481,20.1561241,0.146890134,0,zr,178.156737,31.0214125
671204100002665,58272.1820602,20.092947,0.141365498,0,zr,178.1569248,31.0212465
671204100002665,58272.1829977,20.2691612,0.156807944,0,zr,178.156931,31.0212632
671204100002665,58274.199838,20.1045647,0.142378256,0,zr,178.1568427,31.0212739
671204100002665,58276.1999653,20.2433624,0.154549062,0,zr,178.1569533,31.0212685
671204100002665,58276.2008912,20.0842304,0.140606821,0,zr,178.1569753,31.0212835
671204100002665,58277.2356134,20.0108414,0.134270042,0,zr,178.1568983,31.0212521
671204100002665,58278.238125,20.0662994,0.139049724,0,zr,178.1569337,31.0212869
671204100002665,58279.1724653,20.1802025,0.149003789,0,zr,178.156948,31.0212351
671204100002665,58279.1865741,20.2242451,0.152871713,0,zr,178.1568991,31.0212266
671204100002665,58280.1754514,20.0697556,0.13934955,0,zr,178.1568804,31.0213246
671204100002665,58281.1953935,19.922369,0.126789123,0,zr,178.1568675,31.0212778
671204100002665,58282.195162,20.1236076,0.144041732,0,zr,178.1568986,31.0212532
671204100002665,58282.196088,20.1495819,0.146316364,0,zr,178.1569473,31.021249
671204100002665,58283.2160069,20.1690712,0.148026377,0,zr,178.1569467,31.0212824
671204100002665,58284.2030556,20.1805325,0.149032682,0,zr,178.1569316,31.0212571
671204100002665,58292.2366435,19.9974346,0.133124083,0,zr,178.1569829,31.0212548
671204100002665,58295.2404282,20.2157955,0.152129859,0,zr,178.1569106,31.0213367
671204100002665,58306.1743056,19.7095299,0.109772258,0,zr,178.1568282,31.021292
671204100002665,58423.545787,19.8472843,0.12061239,0,zr,178.1573514,31.0212655
671204100002665,58430.4776736,20.3684177,0.16539368,0,zr,178.1570477,31.0212242
671204100002665,58440.5542593,20.1649323,0.147663102,0,zr,178.1568641,31.0212851
671204100002665,58440.5581597,20.0761223,0.1399021,0,zr,178.1568968,31.0212801
671204100002665,58443.4734491,20.6648788,0.189516902,0,zr,178.1569343,31.021208
671204100002665,58443.4743634,20.3892822,0.167164579,0,zr,178.1569074,31.0212659
671204100002665,58448.5035069,20.0587673,0.138397262,0,zr,178.1569257,31.021226
671204100002665,58449.5280324,20.2008972,0.150821492,0,zr,178.1569563,31.0213178
671204100002665,58455.4653009,20.1542873,0.146729082,0,zr,178.1569058,31.0213276
671204100002665,58461.5476042,20.1595078,0.147187114,0,zr,178.1568637,31.0213147
671204100002665,58464.5491435,20.2032223,0.151025712,32768,zr,178.1570409,31.0212675
671204100002665,58464.5500579,20.1988716,0.150643498,0,zr,178.1569597,31.0212709
671204100002665,58465.5065046,19.9468002,0.12883471,0,zr,178.1568832,31.0212143
671204100002665,58468.5151157,20.1883278,0.149717405,0,zr,178.1568614,31.0212105
671204100002665,58471.5486458,20.093298,0.141395986,0,zr,178.1568515,31.0212707
671204100002665,58474.4942593,20.144846,0.145901307,0,zr,178.156933,31.0212034
671204100002665,58474.4951736,20.0331688,0.136187166,0,zr,178.1569609,31.0212528
671204100002665,58480.5449537,19.5803699,0.100256696,0,zr,178.1569766,31.0212861
671204100002665,58486.5061111,19.9631138,0.130209669,0,zr,178.1568972,31.0213046
671204100002665,58486.5070255,20.1380424,0.145305097,0,zr,178.1568921,31.0212408
671204100002665,58487.5325926,20.1906967,0.149925366,0,zr,178.1568979,31.0212484
671204100002665,58491.5307292,19.9296074,0.127393454,0,zr,178.1569395,31.0213051
671204100002665,58491.5316551,20.139555,0.145437732,0,zr,178.1568966,31.0212752
671204100002665,58492.4843981,19.9381199,0.128105968,32768,zr,178.1569456,31.0212609
671204100002665,58493.5097454,20.0934486,0.141409069,0,zr,178.1569192,31.0212683
671204100002665,58494.4409375,20.0756836,0.139863998,0,zr,178.156912,31.0212632
671204100002665,58494.4503241,19.9914188,0.132611215,0,zr,178.1569573,31.0212806
671204100002665,58502.550706,20.1157818,0.143357709,0,zr,178.1569111,31.0211687
671204100002665,58503.4853588,19.7055893,0.109472416,0,zr,178.1570149,31.0212722
671204100002665,58505.5285648,19.4670753,0.0924608633,0,zr,178.1568232,31.0212194
671204100002665,58508.463287,20.2656479,0.156500652,0,zr,178.1568236,31.0213351
671204100002665,58509.4613889,20.0460892,0.137301087,0,zr,178.1569674,31.0212453
671204100002665,58511.3811458,20.1335754,0.144914046,0,zr,178.1569282,31.0213685
671204100002665,58511.3887153,20.1084614,0.142718226,0,zr,178.1569435,31.0212886
671204100002665,58512.4534491,20.352169,0.164004564,32768,zr,178.1566601,31.0209222
671204100002665,58514.4228125,20.2700424,0.156884849,32768,zr,178.1569701,31.0211413
671204100002665,58522.5334491,20.0674114,0.139146268,0,zr,178.1569025,31.0212866
671204100002665,58522.534375,20.141592,0.145616114,0,zr,178.157011,31.0212822
671204100002665,58524.4681134,20.0701256,0.139381602,0,zr,178.1569267,31.0212703
671204100002665,58526.4907407,19.788723,0.115921743,0,zr,178.1573039,31.0211381
671204100002665,58526.4916667,19.8702221,0.122480802,0,zr,178.1568355,31.0214987
671204100002665,58540.3310417,20.0542526,0.138006538,0,zr,178.1569772,31.0212599
671204100002665,58543.3404861,20.207737,0.151422113,0,zr,178.1569192,31.0212872
671204100002665,58547.3098611,20.1966209,0.150445789,0,zr,178.1569016,31.0212459
671204100002665,58559.2546296,19.9209785,0.126673117,0,zr,178.1569618,31.0212676
671204100002665,58559.255544,20.1133289,0.143143386,0,zr,178.1569823,31.0212626
671204100002665,58568.2785417,20.0905094,0.141153291,0,zr,178.1569605,31.0212698
671204100002665,58572.2904861,19.9982948,0.133197531,0,zr,178.1569421,31.0212835
671204100002665,58572.2921644,20.2117634,0.151775792,0,zr,178.1570053,31.0213002
671204100002665,58573.2579977,20.2221661,0.152689189,0,zr,178.1568884,31.0213286
671204100002665,58580.2824537,20.2647514,0.156422243,0,zr,178.1569329,31.0212998
671204100002665,58580.2833681,20.2117729,0.151776627,0,zr,178.1569457,31.0212642
671204100002665,58581.2566088,20.2032776,0.151030526,0,zr,178.1569292,31.0213129
671204100002665,58582.2323032,20.0897923,0.14109081,0,zr,178.1568989,31.0212336
671204100002665,58584.2988657,20.1646271,0.147636309,0,zr,178.156917,31.0213081
671204100002665,58584.3174306,20.0049629,0.133767188,0,zr,178.1569911,31.0212663
671204100002665,58585.3096875,20.0919571,0.141279325,0,zr,178.1568336,31.02121
671204100002665,58586.2479977,19.9770336,0.131388247,0,zr,178.1568904,31.0213225
671204100002665,58594.3188079,19.9247799,0.126990184,0,zr,178.1569497,31.0212359
671204100002665,58597.3276505,20.1336327,0.144919053,0,zr,178.1570128,31.0212499
671204100002665,58597.3285764,19.9962044,0.13301912,0,zr,178.1569084,31.0212828
671204100002665,58601.2729861,20.0323143,0.136113703,0,zr,178.1568941,31.0212475
671204100002665,58602.2833681,20.2440987,0.154613659,0,zr,178.1569292,31.0212758
671204100002665,58606.2043056,20.0807228,0.140301883,0,zr,178.1569141,31.0212625
671204100002665,58607.232662,19.9221649,0.126771986,0,zr,178.1568876,31.0212927
671204100002665,58612.2130556,20.3735962,0.165834635,0,zr,178.1568745,31.021245
671204100002665,58612.2140741,20.2309399,0.153459311,0,zr,178.1569346,31.0212668
671204100002665,58617.255081,20.1351833,0.145054743,0,zr,178.1568799,31.0213589
671204100002665,58618.3040509,19.9498672,0.129092678,0,zr,178.1569112,31.0212352
671204100002665,58619.1953704,19.4641361,0.0922655538,0,zr,178.1569219,31.0212474
671204100002665,58632.178287,20.1512451,0.146462306,0,zr,178.1569288,31.021305
671204100002665,58637.1959606,20.2358284,0.153888345,0,zr,178.1569193,31.0212255
671204100002665,58638.2240278,20.1735687,0.148421153,0,zr,178.1569253,31.0212544
671204100002665,58639.18,20.0978012,0.141788423,0,zr,178.1569064,31.021223
671204100002665,58639.1819213,20.1768589,0.148710057,0,zr,178.1569356,31.0212436
671204100002665,58642.2219444,20.1751194,0.148557425,0,zr,178.1569423,31.0212398
671204100002665,58651.2347106,20.2739162,0.157223403,0,zr,178.1568427,31.0212268
671204100002665,58654.1749306,20.237072,0.153997287,0,zr,178.1568657,31.0212751
671204100002665,58661.2002894,20.4129505,0.169153273,0,zr,178.1569387,31.0212866
671204100002665,58667.2258796,20.206131,0.151281193,0,zr,178.1569133,31.0212509
671204100002665,58670.1874537,19.984766,0.132044971,0,zr,178.1568003,31.0212467
671204100002665,58676.1969907,20.1719017,0.148274824,0,zr,178.1569296,31.0212629
671204100002665,58792.5115972,19.809412,0.117565453,0,zr,178.1569399,31.0213027
671204100002665,58833.4715046,19.7862682,0.115727723,0,zr,178.1570571,31.0212879
671204100002665,58837.4635069,20.2007103,0.150804952,0,zr,178.1566719,31.0214315
