oid,mjd,mag,magerr,catflags,filtercode,ra,dec
389110400006182,58259.4212153,14.8792543,0.0122358371,32768,zg,317.2915405,-9.6707345
389110400006182,58263.4602315,14.984622,0.0122801075,0,zg,317.2915261,-9.6706998
389110400006182,58267.4387037,14.9633904,0.0122701358,0,zg,317.2915689,-9.670703
389110400006182,58270.4585648,15.0253201,0.0123007735,0,zg,317.291545,-9.6707263
389110400006182,58275.4598727,15.0300684,0.0123033207,0,zg,317.2915235,-9.670731600000002
389110400006182,58278.4177546,15.0583525,0.0123190908,0,zg,317.2915247,-9.6707272
389110400006182,58284.3969097,14.7521944,0.0121987667,32768,zg,317.291525,-9.6707257
389110400006182,58287.4179051,14.9451456,0.0122619979,0,zg,317.2915447,-9.6707453
389110400006182,58290.4182986,14.9840155,0.012279815,0,zg,317.2915583,-9.6707292
389110400006182,58293.4178819,14.9558535,0.0122667262,0,zg,317.2915316,-9.6707441
389110400006182,58297.4400579,14.9710283,0.0122736599,0,zg,317.291537,-9.6707266
389110400006182,58302.4202315,14.8986568,0.0122430259,0,zg,317.2915474,-9.6707211
389110400006182,58305.4410764,14.9270144,0.0122543005,0,zg,317.2915407,-9.6707343
389110400006182,58312.3554398,14.9716654,0.012273957,0,zg,317.2915131,-9.6707209
389110400006182,58315.3971875,14.9439812,0.0122614931,0,zg,317.2915525,-9.6707421
389110400006182,58318.3972917,14.9423676,0.0122607956,0,zg,317.2915636,-9.670711
389110400006182,58321.3978009,14.9553795,0.0122665139,0,zg,317.2915162,-9.6707182
389110400006182,58324.4178009,14.999114,0.0122872302,0,zg,317.2915576,-9.6707302
389110400006182,58329.3990046,14.9928799,0.0122841345,0,zg,317.2915403,-9.6707299
389110400006182,58332.457338,15.0817413,0.0123329209,32768,zg,317.2915423,-9.670727800000002
389110400006182,58338.359294,14.9340677,0.012257251,0,zg,317.2915268,-9.6707079
389110400006182,58338.3602083,14.9304457,0.0122557292,0,zg,317.2915711,-9.6706957
389110400006182,58348.3544444,14.9981737,0.0122867599,0,zg,317.2915461,-9.670729
389110400006182,58360.3576042,15.0118341,0.0122936964,0,zg,317.291532,-9.6707223
389110400006182,58363.2961111,15.0496988,0.0123141576,0,zg,317.291547,-9.6706988
389110400006182,58366.27125,15.023653,0.0122998869,0,zg,317.2915502,-9.670758
389110400006182,58369.2752083,15.0563469,0.0123179378,0,zg,317.2915435,-9.6707385
389110400006182,58372.2527199,15.0739975,0.0123282615,0,zg,317.2915372,-9.6707176
389110400006182,58375.2820833,15.1049509,0.0123473667,0,zg,317.2915487,-9.6707265
389110400006182,58378.2957986,15.1313353,0.0123646846,0,zg,317.2915544,-9.6707356
389110400006182,58384.2506481,15.1085634,0.0123496819,0,zg,317.2915314,-9.6707412
389110400006182,58387.2098032,15.058053,0.0123189185,0,zg,317.2915136,-9.670739200000002
389110400006182,58387.2107176,15.0584459,0.0123191439,0,zg,317.2915455,-9.6707396
389110400006182,58388.2951157,15.0754089,0.0123291053,0,zg,317.2915601,-9.6707321
389110400006182,58389.1899653,15.026104,0.0123011936,0,zg,317.2915359,-9.670749
389110400006182,58424.149294,15.0104837,0.0122930007,32768,zg,317.2915302,-9.670709
389110400006182,58425.1650347,15.1262197,0.0123612527,32768,zg,317.2915373,-9.6707492
389110400006182,58426.1680093,15.1331787,0.0123659316,0,zg,317.2915358,-9.6707484
389110400006182,58426.1689699,15.0998373,0.0123441229,0,zg,317.2915293,-9.6707523
389110400006182,58427.1662037,14.9555111,0.0122665726,32768,zg,317.2915347,-9.6707477
389110400006182,58428.1483218,15.0754795,0.0123291472,0,zg,317.291546,-9.6707486
389110400006182,58429.1678125,15.0910139,0.0123386048,0,zg,317.291533,-9.67075
389110400006182,58429.1687384,15.0818615,0.0123329954,0,zg,317.2915344,-9.670744
389110400006182,58430.144838,15.1008768,0.0123447794,0,zg,317.2915304,-9.670754
389110400006182,58431.1025579,15.0346336,0.0123057971,0,zg,317.2915293,-9.6707609
389110400006182,58432.1475926,15.0407104,0.012309134,0,zg,317.2915374,-9.670700900000002
389110400006182,58435.1274306,14.9688139,0.0122726299,0,zg,317.2915379,-9.6707486
389110400006182,58457.0916088,15.0615826,0.0123209581,0,zg,317.291527,-9.67073
389110400006182,58457.0925231,15.0158997,0.0122958068,0,zg,317.2915278,-9.670784200000002
389110400006182,58608.4587731,14.8591146,0.0122288167,0,zg,317.2915438,-9.6707563
389110400006182,58632.4535417,14.8389177,0.0122222221,0,zg,317.2915408,-9.6707386
389110400006182,58634.4478588,14.8355999,0.012221179,0,zg,317.291539,-9.6707593
389110400006182,58635.4822917,14.8548193,0.0122273779,0,zg,317.2915314,-9.670735
389110400006182,58638.4439583,14.8335104,0.0122205298,0,zg,317.2915501,-9.6707495
389110400006182,58641.438831,14.8214035,0.0122168558,0,zg,317.291536,-9.6707397
389110400006182,58644.4395602,14.84132,0.0122229829,0,zg,317.2915397,-9.670765800000002
389110400006182,58647.376088,14.8562994,0.0122278705,0,zg,317.2915372,-9.6707469
389110400006182,58665.4816667,14.8771429,0.0122350799,0,zg,317.2915365,-9.6707553
389110400006182,58668.4427315,14.8796844,0.0122359926,0,zg,317.291564,-9.6707184
389110400006182,58674.4234259,14.9695063,0.0122729521,0,zg,317.2915565,-9.6707561
389110400006182,58677.3154861,14.9260015,0.0122538833,0,zg,317.2915332,-9.6707408
389110400006182,58677.3298032,14.930479,0.0122557431,0,zg,317.2915347,-9.6707566
389110400006182,58680.4426273,14.9196062,0.0122512672,0,zg,317.2915259,-9.6707785
389110400006182,58684.384537,14.8464041,0.0122246146,0,zg,317.2915436,-9.6707581
389110400006182,58684.3854977,14.8730526,0.012233628,0,zg,317.2915663,-9.6707441
389110400006182,58690.2980671,14.838294,0.0122220237,0,zg,317.2915388,-9.6707395
389110400006182,58690.2989699,14.8537931,0.012227037,0,zg,317.2915434,-9.6707523
389110400006182,58692.3566782,14.8691778,0.0122322701,32768,zg,317.291539,-9.6707625
389110400006182,58693.3140509,14.8770275,0.012235038,0,zg,317.2915492,-9.6707501
389110400006182,58693.3149537,14.883853,0.0122375032,0,zg,317.2915531,-9.6707594
389110400006182,58695.3863657,14.8741798,0.0122340266,0,zg,317.2915353,-9.670753
389110400006182,58698.3326389,14.9000931,0.0122435745,32768,zg,317.291532,-9.6707577
389110400006182,58704.3704977,14.8238583,0.0122175887,0,zg,317.2915358,-9.6707291
389110400006182,58708.4228009,14.8159609,0.0122152548,0,zg,317.2915631,-9.6707327
389110400006182,58712.2062963,14.8216496,0.0122169293,0,zg,317.2915452,-9.6707556
