oid,mjd,mag,magerr,catflags,filtercode,ra,dec
473301200007195,58257.2052083,12.735899,0.0124972174,0,zi,187.2779156,2.0524114
473301200007195,58257.2066088,12.7553205,0.0124751385,0,zi,187.2779287,2.0524023
473301200007195,58966.3125926,12.7803926,0.0124467649,32768,zi,187.2779298,2.0524124
473301200007195,59189.5298264,12.8538733,0.012364476,32768,zi,187.2779068,2.0524199
473301200007195,59204.4966204,12.7325554,0.0125010265,0,zi,187.277923,2.0524166
473301200007195,59216.4982639,12.7401581,0.012492368,0,zi,187.2779265,2.0524341
473301200007195,59222.4881597,12.743722,0.0124883121,0,zi,187.2779254,2.0524116
473301200007195,59225.4221296,12.7369795,0.0124959862,0,zi,187.2779528,2.0524238
473301200007195,59228.5267477,12.762044,0.0124675138,0,zi,187.2779313,2.0524076
473301200007195,59231.5046991,12.7721462,0.0124560799,0,zi,187.2779199,2.0524119
473301200007195,59249.3598611,12.7516155,0.0124793435,0,zi,187.2779754,2.0524169
473301200007195,59252.3998727,12.7385788,0.0124941645,0,zi,187.2779406,2.052413
473301200007195,59255.3497454,12.7291756,0.0125048803,0,zi,187.2779252,2.0524232
473301200007195,59262.2687731,12.776763,0.0124508636,0,zi,187.2779293,2.0524242
473301200007195,59265.3283796,12.7372637,0.012495663,0,zi,187.2779267,2.0524126
473301200007195,59268.3962847,12.7473831,0.0124841509,0,zi,187.2779257,2.0524162
473301200007195,59271.3368287,12.7426805,0.0124894967,0,zi,187.2779146,2.0523985
473301200007195,59280.3420602,12.7552977,0.0124751637,0,zi,187.2779247,2.052418
473301200007195,59291.333588,12.7703733,0.012458086,0,zi,187.2779266,2.0524152
473301200007195,59295.3515741,12.7736826,0.012454343,0,zi,187.2779253,2.052415
473301200007195,59306.3816898,12.7857552,0.012440715,0,zi,187.2779358,2.052415
473301200007195,59310.3397917,12.791935,0.0124337524,32768,zi,187.2779197,2.0524232
473301200007195,59313.3194213,12.7895298,0.0124364607,0,zi,187.2779309,2.0524145
473301200007195,59319.2759259,12.7838755,0.0124428337,0,zi,187.2779516,2.0524602
473301200007195,59323.2497685,12.7809458,0.012446139,0,zi,187.2779323,2.0524139
473301200007195,59336.1837963,12.7821808,0.0124447457,0,zi,187.277929,2.0524118
473301200007195,59342.2045602,12.8059053,0.0124180447,0,zi,187.277931,2.0524098
473301200007195,59348.2738889,12.7649708,0.0124641992,0,zi,187.2779259,2.0524122
473301200007195,59353.2567708,12.7989645,0.0124258427,0,zi,187.2779317,2.0524166
473301200007195,59367.1841088,12.7823839,0.0124445166,0,zi,187.2779311,2.0524019
473301200007195,59370.1934028,12.7712755,0.0124570634,0,zi,187.2779224,2.0524283
473301200007195,59373.2076505,12.8004837,0.0124241356,0,zi,187.2779295,2.0524137
473301200007195,59377.2079861,12.8146782,0.0124082044,0,zi,187.277927,2.052409
473301200007195,59395.1934722,12.7490969,0.0124822026,32768,zi,187.2779173,2.0524061
