oid,mjd,mag,magerr,catflags,filtercode,ra,dec
822103400002814,58202.3073495,14.3135414,0.0143538564,0,zg,219.0919927,58.794307
822103400002814,58202.3228588,14.3292389,0.0143433353,0,zg,219.0920002,58.7943009
822103400002814,58202.3434838,14.3274765,0.0143445088,0,zg,219.0920109,58.7942998
822103400002814,58202.3484259,14.3343906,0.0143399192,0,zg,219.0920203,58.7942968
822103400002814,58202.3651157,14.3451672,0.0143328272,0,zg,219.0920111,58.7942952
822103400002814,58202.3660417,14.3297558,0.0143429916,0,zg,219.0920189,58.7942949
822103400002814,58203.361875,14.3290958,0.0143434294,0,zg,219.0919907,58.7943073
822103400002814,58203.3898148,14.3298616,0.0143429199,0,zg,219.092021,58.7942989
822103400002814,58204.3059491,14.2864599,0.0143723823,0,zg,219.091945,58.7943243
822103400002814,58204.3252894,14.2775707,0.0143785672,0,zg,219.0919799,58.794318
822103400002814,58204.3528125,14.2798471,0.0143769784,0,zg,219.0919735,58.7943045
822103400002814,58204.3759028,14.2814131,0.0143758887,0,zg,219.0919829,58.794305
822103400002814,58204.3984491,14.3117075,0.0143550951,0,zg,219.0920029,58.7943028
822103400002814,58205.2975463,14.2934303,0.0143675711,0,zg,219.0920033,58.7942848
822103400002814,58205.3253125,14.2918539,0.0143686561,0,zg,219.0920044,58.7942875
822103400002814,58205.3384606,14.2895336,0.014370258,0,zg,219.0920251,58.7942734
822103400002814,58205.3509259,14.303483,0.014360683,0,zg,219.0920018,58.7942705
822103400002814,58205.3602546,14.2797623,0.014377038,0,zg,219.0920225,58.7942751
822103400002814,58205.3760069,14.317461,0.0143512143,0,zg,219.0920044,58.7942804
822103400002814,58205.3769213,14.2983437,0.014364196,0,zg,219.0920234,58.7942856
822103400002814,58205.3967708,14.2970676,0.0143650714,0,zg,219.0920069,58.7942862
822103400002814,58206.2730903,14.2873621,0.0143717583,0,zg,219.091982,58.794294
822103400002814,58206.3017824,14.2943697,0.0143669238,0,zg,219.0920044,58.7942859
822103400002814,58206.3262616,14.2959948,0.0143658072,0,zg,219.092015,58.794281
822103400002814,58206.3541551,14.2946558,0.0143667264,0,zg,219.0920026,58.7942798
822103400002814,58206.3550694,14.2892399,0.0143704591,0,zg,219.0920083,58.7942765
822103400002814,58206.3937384,14.2968559,0.0143652158,0,zg,219.0920157,58.7942785
822103400002814,58207.3070833,14.2653074,0.0143871792,0,zg,219.0920233,58.7942867
822103400002814,58207.3278588,14.2938404,0.014367288,32768,zg,219.0920234,58.7942997
822103400002814,58207.337338,14.2680635,0.0143852336,0,zg,219.0920017,58.794273
822103400002814,58207.3728819,14.2869701,0.0143720293,0,zg,219.0919944,58.7942808
822103400002814,58207.3799884,14.2825489,0.014375098,0,zg,219.0920003,58.794273
822103400002814,58207.3968519,14.2776642,0.014378502,0,zg,219.0920244,58.7942766
822103400002814,58208.2985417,14.2582569,0.0143921729,0,zg,219.0919808,58.7942957
822103400002814,58208.2995486,14.2527933,0.014396064,0,zg,219.0919898,58.7942793
822103400002814,58208.3256597,14.2997131,0.0143632572,32768,zg,219.092003,58.7942819
822103400002814,58208.3471991,14.2861309,0.0143726114,0,zg,219.0920296,58.7942857
822103400002814,58208.3706713,14.2700615,0.0143838292,0,zg,219.0919967,58.7942824
822103400002814,58208.3758565,14.2804089,0.0143765872,0,zg,219.0920067,58.7942767
822103400002814,58208.3767708,14.2663403,0.0143864499,0,zg,219.0919934,58.7942739
822103400002814,58208.3985995,14.3027496,0.0143611822,32768,zg,219.0920026,58.7942811
822103400002814,58210.2971181,14.2498636,0.0143981576,0,zg,219.0920022,58.794295
822103400002814,58210.3325579,14.2683773,0.0143850138,32768,zg,219.092028,58.7942882
822103400002814,58210.3539815,14.2261238,0.0144153191,0,zg,219.0920288,58.7942964
822103400002814,58210.3549074,14.2205467,0.0144193983,0,zg,219.0920195,58.7942886
822103400002814,58210.3827546,14.2475643,0.0143998032,0,zg,219.0920392,58.794305
822103400002814,58211.3503472,14.2054653,0.0144305276,32768,zg,219.0920184,58.7943102
822103400002814,58211.3512847,14.2195692,0.0144201163,32768,zg,219.0919598,58.794307
822103400002814,58211.3521991,14.2067175,0.0144296,32768,zg,219.0919899,58.7943113
