oid,mjd,mag,magerr,catflags,filtercode,ra,dec
399207300005379,58312.442662,19.1441822,0.072180599,0,zr,21.6083916,-4.2689563
399207300005379,58315.4827662,19.1496525,0.0724532828,0,zr,21.6083949,-4.2689557
399207300005379,58321.4830671,19.1078682,0.0703966022,0,zr,21.6083997,-4.2689811
399207300005379,58324.4831481,19.1296387,0.0714606643,0,zr,21.6084038,-4.268972
399207300005379,58330.4357176,19.1520691,0.0725740641,0,zr,21.6083826,-4.268974
399207300005379,58335.4753009,19.0982895,0.0699335709,0,zr,21.6084271,-4.2690137
399207300005379,58338.4983449,19.1032181,0.0701714084,0,zr,21.6084126,-4.2689724
399207300005379,58342.4780671,19.0731964,0.0687353164,0,zr,21.6083968,-4.2689725
399207300005379,58346.4205671,19.0976315,0.0699018762,0,zr,21.608405,-4.2689673
399207300005379,58347.4394907,19.0978508,0.0699124336,0,zr,21.6083939,-4.268962
399207300005379,58348.4383102,19.177618,0.0738635287,0,zr,21.6084124,-4.2689713
399207300005379,58348.439294,19.2152863,0.0758063048,0,zr,21.6084378,-4.268962
399207300005379,58349.4621181,19.1553135,0.0727365762,0,zr,21.6084115,-4.2689555
399207300005379,58350.410787,19.1392517,0.0719357058,0,zr,21.6084216,-4.2689795
399207300005379,58351.4999537,19.1006279,0.0700462833,0,zr,21.6084068,-4.2689716
399207300005379,58353.3860995,19.0760078,0.0688684806,0,zr,21.608391,-4.2689628
399207300005379,58353.4389352,19.1605377,0.0729989633,0,zr,21.6084175,-4.2689576
399207300005379,58353.4811574,19.1518669,0.072563991,0,zr,21.6083986,-4.2689879
399207300005379,58354.418831,19.0645771,0.0683286712,0,zr,21.6084,-4.2689773
399207300005379,58354.4378009,19.1786385,0.0739154965,0,zr,21.6084214,-4.2689702
399207300005379,58354.4939005,19.1162491,0.0708042979,0,zr,21.6084175,-4.2689813
399207300005379,58354.4948032,19.1384659,0.0718967691,0,zr,21.6083927,-4.2689761
399207300005379,58355.3957986,19.1169243,0.0708372816,0,zr,21.6083773,-4.269002
399207300005379,58355.478206,19.1241837,0.0711925104,0,zr,21.6084269,-4.268983
399207300005379,58356.4185648,19.2917519,0.0799042955,0,zr,21.6083884,-4.2690019
399207300005379,58356.4778935,19.1484699,0.0723942518,0,zr,21.6083909,-4.2690032
399207300005379,58357.4210764,19.0239258,0.0664442182,0,zr,21.6084151,-4.2689778
399207300005379,58357.4220023,19.1634102,0.0731436759,0,zr,21.6083988,-4.2689638
399207300005379,58357.4638079,19.0994759,0.0699907392,0,zr,21.6084199,-4.2689719
399207300005379,58357.4665509,19.0339737,0.0669048801,0,zr,21.6083899,-4.2689763
399207300005379,58362.3985417,19.0859871,0.0693434402,0,zr,21.6084152,-4.268978
399207300005379,58362.4045486,19.1872368,0.074354887,0,zr,21.6084388,-4.2689999
399207300005379,58363.4673958,19.1664371,0.0732964426,0,zr,21.608409,-4.2689528
399207300005379,58364.379838,19.1712914,0.0735421106,0,zr,21.6084059,-4.2689392
399207300005379,58365.3838426,19.1279621,0.0713781565,0,zr,21.6084036,-4.2689855
399207300005379,58365.3856713,19.0863571,0.0693611056,0,zr,21.6083768,-4.2689935
399207300005379,58366.3673032,19.0976124,0.0699009597,0,zr,21.608428,-4.2689879
399207300005379,58367.3682407,19.102581,0.0701406375,0,zr,21.6084111,-4.2689827
399207300005379,58368.4204167,19.1146126,0.0707244724,0,zr,21.6083597,-4.2689337
399207300005379,58368.421331,19.0610085,0.0681609958,0,zr,21.6083991,-4.2689764
399207300005379,58369.3999769,19.0522461,0.0677512065,0,zr,21.6083877,-4.268986
399207300005379,58370.4339931,19.0452633,0.0674264431,0,zr,21.6084078,-4.268966
399207300005379,58371.4214583,19.104454,0.0702311993,0,zr,21.6084027,-4.2689645
399207300005379,58371.423287,19.1179295,0.0708863512,0,zr,21.6084211,-4.2690001
399207300005379,58372.3774884,19.1407795,0.0720115304,0,zr,21.6083637,-4.2689906
399207300005379,58373.4458912,19.1268673,0.0713242963,0,zr,21.6083982,-4.2689738
399207300005379,58374.3774537,19.1162262,0.0708031878,0,zr,21.6083709,-4.2689559
399207300005379,58374.3783565,19.0779533,0.0689608008,0,zr,21.6084055,-4.2689939
399207300005379,58375.4164468,19.0899639,0.0695336461,0,zr,21.6083973,-4.2689647
399207300005379,58377.4036458,19.1331482,0.0716337338,0,zr,21.6084067,-4.268958
399207300005379,58377.4045602,19.0796127,0.0690396428,0,zr,21.6083956,-4.268973
399207300005379,58378.4113889,19.0884838,0.0694627687,0,zr,21.6084018,-4.2689701
399207300005379,58379.3990162,19.1103401,0.0705165714,0,zr,21.6084137,-4.2689738
399207300005379,58380.4363657,19.0567322,0.067960687,0,zr,21.6084144,-4.2689726
399207300005379,58380.4372685,19.0572796,0.0679862872,0,zr,21.6083982,-4.2689939
399207300005379,58382.3566204,19.0489597,0.0675981641,0,zr,21.6084058,-4.2689704
399207300005379,58383.3798495,18.9634953,0.0637437254,0,zr,21.6084214,-4.2689906
399207300005379,58383.3821296,19.0670452,0.0684448332,0,zr,21.6084176,-4.2690115
399207300005379,58385.2942708,19.072382,0.0686967894,0,zr,21.6084611,-4.2689723
399207300005379,58389.3212269,19.0466805,0.0674922317,0,zr,21.608388,-4.2689739
399207300005379,58397.4019907,19.0335274,0.0668843165,0,zr,21.6084152,-4.2689818
399207300005379,58422.3353241,19.1760101,0.0737816915,0,zr,21.6083809,-4.2690269
399207300005379,58428.2519329,19.1140423,0.070696719,0,zr,21.6083914,-4.269015
399207300005379,58431.273044,19.1310387,0.0715296865,0,zr,21.6084271,-4.2692812
399207300005379,58434.3098843,19.0642433,0.0683129579,0,zr,21.6083935,-4.269077
399207300005379,58437.26875,18.9894485,0.0648888797,0,zr,21.6084055,-4.2690079
399207300005379,58447.3374074,19.0304718,0.0667439327,0,zr,21.6081462,-4.2690268
399207300005379,58456.1873148,19.0570545,0.0679757446,0,zr,21.6084048,-4.2689909
399207300005379,58456.2609144,19.1500072,0.0724710375,0,zr,21.608388,-4.26898
399207300005379,58472.1226968,19.0628662,0.06824819,0,zr,21.6084253,-4.2689742
399207300005379,58475.1670139,19.1037674,0.0701979771,0,zr,21.6084252,-4.2690261
399207300005379,58487.1241088,19.2204857,0.0760783404,0,zr,21.6084173,-4.2689517
399207300005379,58487.1250231,19.0458412,0.0674532726,0,zr,21.6084123,-4.2689968
399207300005379,58490.1611458,19.1105156,0.070525147,0,zr,21.6084515,-4.2690115
399207300005379,58491.1133912,19.1158733,0.0707859695,0,zr,21.6084328,-4.2689092
399207300005379,58491.1143056,19.1260872,0.071285978,0,zr,21.6084137,-4.2689558
399207300005379,58494.1102431,19.1732216,0.0736400113,0,zr,21.6080821,-4.2688582
399207300005379,58494.1111574,19.1216984,0.0710706711,0,zr,21.6082579,-4.2688968
399207300005379,58511.1123495,19.0691299,0.0685431436,0,zr,21.6084491,-4.268961
399207300005379,58667.4840856,19.0960407,0.0698252767,0,zr,21.6084095,-4.2691089
399207300005379,58680.4359838,19.1911469,0.0745555609,0,zr,21.6082912,-4.2689709
399207300005379,58682.4188194,19.1623383,0.0730896592,0,zr,21.6083842,-4.2689751
399207300005379,58683.4408218,19.1012535,0.0700764954,0,zr,21.6083997,-4.2690467
399207300005379,58685.4391319,19.2295189,0.0765533298,0,zr,21.6084185,-4.2689695
399207300005379,58686.418912,19.3048248,0.0806257576,0,zr,21.6083988,-4.2690013
399207300005379,58686.4198148,18.9285545,0.0622362904,32768,zr,21.6082966,-4.2689217
399207300005379,58693.4769329,19.0780945,0.0689675361,0,zr,21.6084115,-4.268995
399207300005379,58696.4646412,19.1011734,0.070072636,0,zr,21.6084049,-4.268979
399207300005379,58703.4385301,19.0493908,0.0676181763,0,zr,21.6084119,-4.2690024
399207300005379,58709.3974421,19.1322517,0.0715894774,0,zr,21.6083885,-4.2689775
399207300005379,58712.3974653,19.1208076,0.0710270703,0,zr,21.608382,-4.2690169
399207300005379,58717.4741319,19.1258316,0.0712734461,0,zr,21.6084111,-4.2689824
399207300005379,58720.3867593,19.1226158,0.0711156428,0,zr,21.6084373,-4.2689801
399207300005379,58726.3784722,19.1724052,0.0735985786,0,zr,21.6084165,-4.269019
399207300005379,58733.4028356,19.0742493,0.0687851384,0,zr,21.6084247,-4.2689852
399207300005379,58736.4357986,19.1983986,0.0749291182,0,zr,21.6083924,-4.2689833
399207300005379,58739.3780324,19.0359211,0.066994518,0,zr,21.6083886,-4.269052
399207300005379,58744.3789931,19.2896862,0.0797908455,0,zr,21.6083981,-4.2689496
399207300005379,58747.3992245,19.0938168,0.0697184205,0,zr,21.6084225,-4.2689733
399207300005379,58750.3149653,19.243988,0.0773201063,0,zr,21.6084063,-4.2689749
399207300005379,58759.3558333,19.1871758,0.0743517727,0,zr,21.6084279,-4.2689781
