oid,mjd,mag,magerr,catflags,filtercode,ra,dec
464214100002913,58218.1874769,18.7202415,0.0500354059,0,zr,124.8926106,8.0258246
464214100002913,58218.1901505,18.5970802,0.045469407,0,zr,124.8926359,8.025779099999998
464214100002913,58223.1752894,18.7183304,0.049960956,0,zr,124.8926042,8.0257693
464214100002913,58227.1470833,18.7513313,0.0512631461,0,zr,124.892578,8.0257646
464214100002913,58244.1577894,18.7156639,0.0498572513,0,zr,124.892574,8.0258752
464214100002913,58375.5165509,18.7301064,0.0504215844,0,zr,124.8926112,8.0256848
464214100002913,58378.5230787,18.6955624,0.0490828343,0,zr,124.8925777,8.0257216
464214100002913,58383.5258681,18.7176647,0.0499350205,0,zr,124.8925827,8.0257266
464214100002913,58387.4818866,18.7064972,0.0495024882,32768,zr,124.8928658,8.0258116
464214100002913,58390.5314699,18.6580544,0.0476716571,0,zr,124.8925883,8.025706899999998
464214100002913,58423.5032523,18.6295471,0.0466280654,0,zr,124.892557,8.0257017
464214100002913,58426.5034259,18.7730904,0.052141089,0,zr,124.8925883,8.025723
464214100002913,58429.5027662,18.7726326,0.0521224588,0,zr,124.8925866,8.025727599999998
464214100002913,58432.5028356,18.727726,0.0503281057,0,zr,124.8925503,8.0257755
464214100002913,58435.5207523,18.780159,0.052429609,0,zr,124.8927253,8.0258918
464214100002913,58438.5167014,18.7689152,0.0519713908,0,zr,124.8925952,8.025722099999998
464214100002913,58439.3700116,18.7541847,0.0513774119,32768,zr,124.8925747,8.0257271
464214100002913,58441.4373727,18.7829151,0.0525425635,0,zr,124.8926116,8.025709199999998
464214100002913,58442.3751042,18.9187241,0.0584281087,32768,zr,124.89261,8.0257828
464214100002913,58447.4183681,18.9085636,0.057965599,0,zr,124.8927131,8.025701899999998
464214100002913,58448.4278125,18.7433701,0.0509458035,0,zr,124.892606,8.025676
464214100002913,58461.5043403,18.7796822,0.0524100885,0,zr,124.8925919,8.0257033
464214100002913,58465.4853125,18.7460308,0.051051639,0,zr,124.8926176,8.0257812
464214100002913,58468.4776389,18.730442,0.0504348055,0,zr,124.8926147,8.0257003
464214100002913,58472.4018171,18.689373,0.0488469526,0,zr,124.8925911,8.025771499999998
464214100002913,58480.4220949,18.7922096,0.0529253557,0,zr,124.8926006,8.0257477
464214100002913,58481.4334028,18.792408,0.0529335812,0,zr,124.8926288,8.0257214
464214100002913,58487.4262847,18.7386551,0.0507587753,0,zr,124.8925659,8.0257386
464214100002913,58509.289294,18.7099075,0.0496341623,0,zr,124.8926677,8.0257365
464214100002913,58523.2279977,18.7766361,0.0522856042,0,zr,124.8926255,8.0257366
464214100002913,58526.2264468,18.7665787,0.0518766977,0,zr,124.8923492,8.0257629
464214100002913,58534.3152083,18.817028,0.0539615899,0,zr,124.8926286,8.025849499999998
464214100002913,58547.1917361,18.6948986,0.0490574688,0,zr,124.8926018,8.0257198
464214100002913,58557.2369907,18.6275444,0.046555683,0,zr,124.8924944,8.0257951
464214100002913,58560.318912,18.7734337,0.0521550626,0,zr,124.8926283,8.025729399999998
464214100002913,58569.255,18.6905937,0.0488933809,32768,zr,124.8925806,8.0257272
464214100002913,58575.1475694,18.6193504,0.0462607555,32768,zr,124.8926841,8.025732299999998
464214100002913,58581.1524769,18.5832138,0.0449840762,32768,zr,124.8926002,8.025677399999998
