oid,mjd,mag,magerr,catflags,filtercode,ra,dec
415109100006714,58210.2146065,19.5665131,0.106027812,0,zg,139.0264279,-1.3354797
415109100006714,58227.1693634,20.0816231,0.150242776,0,zg,139.0264596,-1.3355896
415109100006714,58247.1713426,20.2825775,0.169128686,0,zg,139.0263523,-1.3354351
415109100006714,58255.1715394,19.8708096,0.131056786,0,zg,139.02649,-1.3355118
415109100006714,58423.4989699,19.8301754,0.127508536,0,zg,139.0264183,-1.3354299
415109100006714,58426.4806597,19.820055,0.126633763,0,zg,139.0263974,-1.3355353
415109100006714,58426.4987153,20.1641788,0.15799132,0,zg,139.0264309,-1.335492
415109100006714,58427.5046296,19.6097603,0.109354764,0,zg,139.0264601,-1.3356072
415109100006714,58429.4419907,19.9012299,0.133749515,0,zg,139.0263994,-1.3354644
415109100006714,58430.5041898,19.9605751,0.139084622,0,zg,139.0264028,-1.3355186
415109100006714,58432.4798495,20.0612717,0.148345917,0,zg,139.0263313,-1.3355249
415109100006714,58432.4993981,19.9292603,0.136256456,0,zg,139.0263907,-1.3355136
415109100006714,58437.4851389,19.7968369,0.124641106,0,zg,139.0262955,-1.335538
415109100006714,58438.4618981,20.0388145,0.146261334,0,zg,139.0264265,-1.3355077
415109100006714,58438.4632639,19.7773018,0.122979894,0,zg,139.0264028,-1.3355587
415109100006714,58439.4941551,20.0949478,0.151488215,0,zg,139.0264428,-1.3355255
415109100006714,58440.4795949,19.8218193,0.126785994,32768,zg,139.0263728,-1.3354913
415109100006714,58441.4806481,19.8882751,0.13259919,0,zg,139.0264242,-1.3355359
415109100006714,58441.4833912,19.885458,0.132349655,0,zg,139.0264085,-1.3355779
415109100006714,58442.5014699,20.0258846,0.145065665,0,zg,139.0264122,-1.335565
415109100006714,58443.5013079,19.8270302,0.127236336,0,zg,139.0263786,-1.3355062
415109100006714,58450.4804977,19.935997,0.136862576,0,zg,139.0265215,-1.3355079
415109100006714,58464.464375,20.0991993,0.151886076,0,zg,139.0264118,-1.3354067
415109100006714,58472.4978009,20.0311127,0.145548761,0,zg,139.0263456,-1.3355403
415109100006714,58475.5179977,19.737318,0.119625561,0,zg,139.0263256,-1.3354994
415109100006714,58487.4446412,19.9918175,0.141932756,0,zg,139.0264118,-1.3355973
415109100006714,58491.4316319,20.1538277,0.157016471,0,zg,139.0264258,-1.3355313
415109100006714,58494.4660532,20.1686306,0.158410624,0,zg,139.0264125,-1.3355244
415109100006714,58547.2916204,19.71698,0.117943354,0,zg,139.0263667,-1.3355291
415109100006714,58556.268044,19.8428574,0.128609776,0,zg,139.0264388,-1.3355429
415109100006714,58562.2303356,19.0748196,0.073904112,0,zg,139.0264823,-1.3356371
415109100006714,58569.1282639,19.7809105,0.123285763,32768,zg,139.0264342,-1.3355064
415109100006714,58569.2941435,19.916399,0.13510327,32768,zg,139.0263311,-1.335517
415109100006714,58581.16875,19.6631889,0.11357493,0,zg,139.0264118,-1.3355637
415109100006714,58584.2099653,19.882412,0.132080242,0,zg,139.0262325,-1.3355133
415109100006714,58587.2082523,19.7711601,0.122460626,0,zg,139.0263496,-1.3355401
415109100006714,58598.2121296,19.856741,0.129821897,0,zg,139.0263981,-1.3355367
415109100006714,58608.1697801,19.7382584,0.119703665,0,zg,139.0263737,-1.335581
415109100006714,58758.5027778,19.6664867,0.113839269,0,zg,139.0264075,-1.3355547
415109100006714,58775.5162037,19.5958214,0.108273774,0,zg,139.0263134,-1.3355869
415109100006714,58784.4986921,18.9646111,0.0680914819,32768,zg,139.0264395,-1.3354652
