oid,mjd,mag,magerr,catflags,filtercode,ra,dec
619209400012280,58214.1917824,18.3684387,0.0398171097,32768,zr,147.259514,26.616774
619209400012280,58217.1960532,18.524929,0.0447020121,32768,zr,147.2595583,26.6168496
619209400012280,58217.2208333,18.4663811,0.0427987874,0,zr,147.2595479,26.6168551
619209400012280,58221.2071644,18.5195293,0.0445225574,0,zr,147.2595632,26.6168944
619209400012280,58224.1746296,18.5288067,0.0448313802,32768,zr,147.2594985,26.6168161
619209400012280,58224.1908333,18.4051838,0.0409068614,0,zr,147.2595671,26.6168333
619209400012280,58227.1633565,18.5163231,0.0444164164,0,zr,147.2595776,26.6168356
619209400012280,58245.155544,18.4992828,0.0438568704,0,zr,147.2595792,26.6168624
619209400012280,58248.16375,18.4470196,0.0421896651,0,zr,147.2595552,26.6168473
619209400012280,58262.1756944,18.379097,0.04012971,0,zr,147.2595717,26.6168234
619209400012280,58263.1940741,18.4278316,0.0415956862,0,zr,147.2595686,26.6169006
619209400012280,58266.2373843,18.3973007,0.0406702235,0,zr,147.2595585,26.6168627
619209400012280,58281.1981597,18.3878269,0.0403878614,0,zr,147.2595976,26.6168398
619209400012280,58388.5312616,18.3531723,0.0393743031,0,zr,147.259528,26.6168523
619209400012280,58425.497662,18.2060547,0.0353928506,0,zr,147.2596403,26.6169009
619209400012280,58426.5499769,18.2770615,0.0372512303,0,zr,147.2595442,26.6170975
619209400012280,58428.5027894,18.1769485,0.0346638262,0,zr,147.2596433,26.6169578
619209400012280,58431.5413194,18.2008553,0.0352612324,0,zr,147.2594765,26.6169722
619209400012280,58434.4757986,18.2036781,0.0353326127,0,zr,147.2595883,26.6168315
619209400012280,58437.536169,18.2602577,0.0368010104,0,zr,147.259557,26.6168247
619209400012280,58439.3752315,18.2508278,0.0365511999,0,zr,147.2595643,26.6168362
619209400012280,58440.507338,18.2838364,0.037434604,0,zr,147.2595379,26.6168239
619209400012280,58443.4418866,18.274353,0.0371782146,0,zr,147.259548,26.6168225
619209400012280,58447.461956,18.2877045,0.037539795,0,zr,147.2596139,26.616828
619209400012280,58447.5162847,18.1196213,0.0332815088,0,zr,147.2595758,26.6168353
619209400012280,58448.461412,18.1651535,0.0343736447,0,zr,147.2595865,26.616841
619209400012280,58455.4625579,18.2557106,0.0366802886,0,zr,147.2595506,26.6168334
619209400012280,58455.4804398,18.1884403,0.0349494368,0,zr,147.2595572,26.616837
619209400012280,58461.5230093,18.2053261,0.0353743769,0,zr,147.2595518,26.6168368
619209400012280,58464.5242824,18.2075653,0.0354311913,0,zr,147.2595622,26.6168805
619209400012280,58467.5202546,18.2588501,0.0367635898,32768,zr,147.2595663,26.6167724
619209400012280,58471.5269097,18.2499695,0.036528565,0,zr,147.2595535,26.616829
619209400012280,58472.4378704,18.196703,0.0351565741,0,zr,147.2595558,26.6168244
619209400012280,58480.4543171,18.2021179,0.0352931358,0,zr,147.2595833,26.6169528
619209400012280,58481.4183218,18.2272148,0.0359346457,0,zr,147.2595548,26.6168235
619209400012280,58486.4742014,18.1936607,0.0350801274,0,zr,147.2595504,26.6168274
619209400012280,58492.4740741,18.2012215,0.0352704786,32768,zr,147.2595768,26.6168405
619209400012280,58493.4576852,18.2061234,0.0353945792,0,zr,147.2595531,26.616823
619209400012280,58502.4190972,18.1854744,0.0348754451,0,zr,147.2595791,26.6168356
619209400012280,58502.506088,18.2090664,0.0354693457,0,zr,147.2595546,26.6168483
619209400012280,58503.3021296,18.1727715,0.0345607214,0,zr,147.2595753,26.6167881
619209400012280,58503.3185069,18.1326141,0.0335886702,0,zr,147.2595664,26.616797
619209400012280,58503.3350579,18.0330353,0.0313228853,0,zr,147.259577,26.6167906
619209400012280,58503.3518981,18.0901413,0.0325975828,0,zr,147.2595979,26.6168177
619209400012280,58503.3695602,18.1253624,0.0334168002,0,zr,147.2595874,26.6168474
619209400012280,58503.3869907,18.1122246,0.0331082046,0,zr,147.2596011,26.6168328
619209400012280,58503.4044329,18.2675819,0.0369964428,0,zr,147.259545,26.6167991
619209400012280,58503.4212037,18.1881161,0.0349413343,0,zr,147.259573,26.6168321
619209400012280,58503.4376505,18.2236137,0.0358417258,0,zr,147.2595915,26.6168236
619209400012280,58503.4540162,18.1981773,0.0351937003,0,zr,147.2595495,26.6168469
619209400012280,58506.2623727,18.289999,0.0376023315,0,zr,147.2593742,26.6168313
619209400012280,58506.2786574,18.2365761,0.0361775607,0,zr,147.2594693,26.6166436
619209400012280,58506.2945949,18.2267227,0.0359219238,0,zr,147.2596108,26.6169007
