# PLIKE V4.0 ZDCF peak likelihood analysis
# for file plike_gr_092332.21+081337.8.dcf
#
# num      lag         r         -dr        +dr    likelihood 
# ---- ---------- ---------- ---------- ---------- ---------- 
     1  2.139E+00 -1.218E-01  3.498E-02  3.455E-02  2.022E-07
     2  6.418E+00 -1.853E-02  4.338E-02  4.306E-02  9.449E-03
     3  1.070E+01  3.632E-02  4.641E-02  4.620E-02  2.011E-01
     4  1.498E+01 -1.599E-02  4.610E-02  4.587E-02  1.139E-02
     5  1.925E+01  1.171E-02  4.642E-02  4.620E-02  6.168E-02
     6  2.353E+01  3.549E-02  4.508E-02  4.479E-02  1.947E-01
     7  2.781E+01 -1.215E-02  4.139E-02  4.101E-02  1.496E-02
     8  3.209E+01 -3.353E-02  4.354E-02  4.321E-02  3.225E-03
     9  3.637E+01  4.212E-02  4.693E-02  4.673E-02  2.578E-01
    10  4.065E+01  3.514E-02  4.772E-02  4.758E-02  1.928E-01
    11  4.493E+01 -5.652E-03  4.784E-02  4.771E-02  2.309E-02
    12  4.921E+01 -5.878E-03  4.717E-02  4.697E-02  2.286E-02
#
# ML Peak at t_lag =  +3.637E+01, Likelihood at peak =  +2.578E-01
# 1 sigma ML t_lag interval =  +3.637E+01  +4.694E+00  -2.300E+01
#                           = ( +1.337E+01 ,  +4.106E+01)
